alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h0end
pa_manual	random	10	100000	0.1	1	14	2.6132	0:00:02	39.98	50.85	33.59	34.02	0.00	0.00	59.33	2.04	ok	10	97481	94840	0.00	GapSeed	14	1	1	0	Gap	6962	17897	17684	630176	704304	40894	3454	261274	10661	994	7.23	59.45	199.85	11.46	9631	6938	13585
pa_manual_zero	random	10	100000	0.1	1	14	2.7238	0:00:02	38.25	49.30	32.00	32.41	0.00	0.00	72.71	2.47	ok	10	97481	94840	0.00	GapSeed	14	1	1	0	Gap	6962	17897	17897	726323	806427	45567	5148	109413	10668	2521	8.27	62.56	206.16	11.18	9631	6213	13575
pa_manual_unordered	random	10	100000	0.1	1	14	3.9821	0:00:03	56.17	67.22	49.85	50.25	0.00	0.00	78.10	3.60	ok	10	97481	94840	0.00	Unordered	14	1	1	0	Zero	6823	4594	4594	915258	1005005	56079	6276	944192	4416	0	10.31	41.55	350.91	0.00	9631	4458	13291
pa_manual	random	10	100000	0.1	1	15	3.6445	0:00:03	60.59	71.14	53.84	54.29	0.00	0.00	71.34	3.06	ok	10	97481	94840	0.00	GapSeed	15	1	1	0	Gap	6498	15786	15730	869945	957436	52459	4845	414410	9574	810	9.82	62.85	296.88	11.23	9631	6764	12721
pa_manual_zero	random	10	100000	0.1	1	15	3.3906	0:00:03	55.11	65.88	48.61	49.01	0.00	0.00	76.68	3.08	ok	10	97481	94840	0.00	GapSeed	15	1	1	0	Gap	6498	15786	15786	968377	1059767	57133	6671	169328	9578	2311	10.87	60.55	273.20	10.35	9631	6074	12712
pa_manual_unordered	random	10	100000	0.1	1	15	4.8755	0:00:04	56.17	67.13	49.82	50.25	0.00	0.00	83.70	4.54	ok	10	97481	94840	0.00	Unordered	15	1	1	0	Zero	6462	4197	4197	1105480	1203260	64952	7470	1122810	4083	0	12.34	43.01	438.15	0.00	9631	4529	12697
pa_manual	random	10	100000	0.1	1	16	5.2165	0:00:05	60.38	71.02	53.73	54.15	0.00	0.00	79.56	4.65	ok	10	97481	94840	0.00	GapSeed	16	1	1	0	Gap	6092	14095	14078	1240010	1344634	72749	6990	638217	8602	660	13.79	61.70	454.20	12.18	9631	6615	11946
pa_manual_zero	random	10	100000	0.1	1	16	4.5955	0:00:04	56.29	66.91	49.62	50.04	0.00	0.00	80.07	4.16	ok	10	97481	94840	0.00	GapSeed	16	1	1	0	Gap	6092	14095	14095	1344181	1451149	77502	9055	279572	8608	2080	14.89	57.40	399.33	11.13	9631	5954	11941
pa_manual_unordered	random	10	100000	0.1	1	16	6.3518	0:00:06	99.10	110.20	92.89	93.31	0.00	0.00	90.52	6.24	ok	10	97481	94840	0.00	Unordered	16	1	1	0	Zero	6084	3817	3817	1483148	1595752	85500	9925	1486888	3722	0	16.37	38.51	590.93	0.00	9631	4533	11978
pa_manual	random	10	100000	0.1	1	17	8.3566	0:00:08	100.73	111.95	94.37	94.78	0.00	0.00	86.51	7.71	ok	10	97481	94840	0.00	GapSeed	17	1	1	0	Gap	5733	12636	12629	1884468	2013477	104868	11066	1051075	7782	546	20.66	58.56	771.12	15.26	9631	6460	11281
pa_manual_zero	random	10	100000	0.1	1	17	7.5108	0:00:07	101.18	112.23	94.76	95.16	0.00	0.00	90.78	7.33	ok	10	97481	94840	0.00	GapSeed	17	1	1	0	Gap	5733	12636	12636	1983744	2112397	109672	13187	531743	7784	1874	21.67	59.79	685.68	13.79	9631	5842	11277
pa_manual_unordered	random	10	100000	0.1	1	17	10.0903	0:00:10	98.52	109.41	92.14	92.54	0.00	0.00	93.16	9.90	ok	10	97481	94840	0.00	Unordered	17	1	1	0	Zero	5732	3467	3467	2166899	2301321	116054	14387	2157427	3389	0	23.61	38.91	964.04	0.00	9631	4529	11308
pa_manual	random	10	100000	0.1	1	18	15.5689	0:00:15	142.94	196.37	136.54	136.93	0.00	0.00	93.90	15.10	ok	10	97481	94840	0.00	GapSeed	18	1	1	0	Gap	5415	11436	11432	3137083	3303718	157589	18961	1860244	7109	439	33.89	58.58	1491.92	19.88	9631	6307	10694
pa_manual_zero	random	10	100000	0.1	1	18	14.0457	0:00:14	143.06	153.99	136.41	136.84	0.00	0.00	91.41	13.34	ok	10	97481	94840	0.00	GapSeed	18	1	1	0	Gap	5415	11436	11436	3219988	3382883	159660	21206	1061649	7113	1692	34.70	59.77	1339.28	17.62	9631	5706	10692
pa_manual_unordered	random	10	100000	0.1	1	18	18.9224	0:00:18	139.81	150.90	133.59	133.98	0.00	0.00	79.42	15.53	ok	10	97481	94840	0.00	Unordered	18	1	1	0	Zero	5415	3172	3172	3538837	3709920	170913	23351	3429370	3107	0	38.06	38.08	1849.32	0.00	9631	4484	10698
pa_manual	human	10	100000	0.1	1	14	3.3631	0:00:03	41.00	51.85	34.54	34.96	0.00	0.00	77.03	3.06	ok	10	99976	97205	0.00	GapSeed	14	1	1	0	Gap	7140	29451	21028	662632	738461	31706	3558	292811	11036	853	7.39	64.83	267.40	59.31	9782	7062	13837
pa_manual_zero	human	10	100000	0.1	1	14	10.7608	0:00:10	64.28	75.14	57.86	58.27	0.00	0.00	87.51	9.91	ok	10	99976	97205	0.00	GapSeed	14	1	1	0	Gap	7140	29451	29451	787296	870220	36371	5575	184767	11052	2120	8.70	71.05	1001.02	762.54	9782	6288	13759
pa_manual_unordered	human	10	100000	0.1	1	14	44.7857	0:00:44	416.92	570.54	413.34	413.74	0.00	0.00	33.81	15.61	ok	10	99976	97205	0.00	Unordered	14	1	1	0	Zero	6135	4223	4223	7688603	7897341	79267	47131	4125913	3909	0	78.99	36.71	4436.70	0.00	9782	3824	11644
pa_manual	human	10	100000	0.1	1	15	4.1866	0:00:04	59.88	70.63	53.32	53.72	0.00	0.00	85.27	4.05	ok	10	99976	97205	0.00	GapSeed	15	1	1	0	Gap	6664	23696	18167	904869	993698	40425	4965	431546	9932	735	9.94	65.48	347.35	32.45	9782	6902	12960
pa_manual_zero	human	10	100000	0.1	1	15	7.5511	0:00:07	63.69	74.51	57.21	57.63	0.00	0.00	91.01	7.37	ok	10	99976	97205	0.00	GapSeed	15	1	1	0	Gap	6664	23696	23696	1035001	1128849	45375	7139	262366	9946	2056	11.29	65.51	687.17	375.39	9782	6148	12897
pa_manual_unordered	human	10	100000	0.1	1	15	42.5946	0:00:42	388.98	399.65	382.37	382.78	0.00	0.00	35.49	15.61	ok	10	99976	97205	0.00	Unordered	15	1	1	0	Zero	6049	4010	4010	7330680	7532580	72378	44826	3933739	3783	0	75.34	35.96	4218.68	0.00	9782	4077	11644
pa_manual	human	10	100000	0.1	1	16	5.4812	0:00:05	59.52	70.97	53.16	53.56	0.00	0.00	84.12	5.10	ok	10	99976	97205	0.00	GapSeed	16	1	1	0	Gap	6248	19782	15909	1269079	1374175	54531	7022	652877	8959	616	13.74	63.60	479.03	24.67	9782	6734	12188
pa_manual_zero	human	10	100000	0.1	1	16	8.3465	0:00:08	101.34	112.47	95.12	95.52	0.00	0.00	88.31	7.85	ok	10	99976	97205	0.00	GapSeed	16	1	1	0	Gap	6248	19782	19782	1418207	1526722	60232	9443	399359	8969	1900	15.27	62.81	768.11	312.51	9782	6020	12136
pa_manual_unordered	human	10	100000	0.1	1	16	57.8306	0:00:57	391.35	570.23	384.93	385.33	0.00	0.00	76.70	44.85	ok	10	99976	97205	0.00	Unordered	16	1	1	0	Zero	5798	3719	3719	9035709	9263273	81444	54430	5115236	3546	0	92.65	39.80	5737.20	0.00	9782	4158	11250
pa_manual	human	10	100000	0.1	1	17	8.4916	0:00:08	101.57	112.32	95.02	95.42	0.00	0.00	92.60	8.35	ok	10	99976	97205	0.00	GapSeed	17	1	1	0	Gap	5880	16946	14146	1883626	2011827	75526	10536	1048808	8153	513	20.12	62.47	780.54	25.79	9782	6578	11516
pa_manual_zero	human	10	100000	0.1	1	17	9.6826	0:00:09	102.20	113.16	95.95	96.36	0.00	0.00	91.61	9.37	ok	10	99976	97205	0.00	GapSeed	17	1	1	0	Gap	5880	16946	16946	2052224	2181645	82583	13226	665359	8168	1746	21.82	62.01	902.47	157.95	9782	5894	11473
pa_manual_unordered	human	10	100000	0.1	1	17	90.3621	0:01:30	1396.30	1407.05	1389.75	1390.18	0.00	0.00	82.17	74.75	ok	10	99976	97205	0.00	Unordered	17	1	1	0	Zero	5527	3424	3424	13968989	14259608	109540	81629	7491951	3278	0	142.63	37.49	8992.75	0.00	9782	4207	10763
pa_manual	human	10	100000	0.1	1	18	15.7173	0:00:15	183.55	195.75	178.34	178.75	0.00	0.00	92.76	15.06	ok	10	99976	97205	0.00	GapSeed	18	1	1	0	Gap	5553	14708	12593	3115246	3279599	118114	17876	1905570	7431	423	32.80	61.87	1502.80	28.86	9782	6431	10923
pa_manual_zero	human	10	100000	0.1	1	18	16.5139	0:00:16	139.74	192.38	133.17	133.58	0.00	0.00	92.22	15.71	ok	10	99976	97205	0.00	GapSeed	18	1	1	0	Gap	5553	14708	14708	3329674	3492994	124031	21107	1341272	7442	1579	34.94	57.19	1590.17	135.02	9782	5780	10881
pa_manual_unordered	human	10	100000	0.1	1	18	100.0193	0:01:40	1396.62	1407.41	1390.09	1390.50	0.00	0.00	74.26	74.73	timeout 100s
pa_manual	random	3	300000	0.1	1	14	1.7997	0:00:01	76.39	98.58	70.03	70.45	0.00	0.00	59.47	1.58	ok	1	268028	260367	0.00	GapSeed	14	1	1	0	Gap	19144	50658	49137	1630654	1824657	821615	8928	738547	29491	2798	6.81	446.11	1318.34	69.42	26212	18904	37326
pa_manual_zero	random	3	300000	0.1	1	14	1.7685	0:00:01	70.65	83.90	64.24	64.66	0.00	0.00	58.77	1.51	ok	1	268028	260367	0.00	GapSeed	14	1	1	0	Gap	19144	50658	50658	1887345	2098256	903501	13432	308215	29505	6542	7.83	459.18	1266.56	82.07	26212	16936	37291
pa_manual_unordered	random	3	300000	0.1	1	14	3.3405	0:00:03	75.62	87.96	69.43	69.87	0.00	0.00	73.21	2.94	ok	1	268028	260367	0.00	Unordered	14	1	1	0	Zero	18202	12448	12448	2905831	3165999	1330464	19454	3573839	11694	0	11.81	287.49	3021.81	0.00	26212	11508	34896
pa_manual	random	3	300000	0.1	1	15	2.2290	0:00:02	80.49	96.39	74.18	74.59	0.00	0.00	50.05	1.60	ok	1	268028	260367	0.00	GapSeed	15	1	1	0	Gap	17868	43781	43393	2135733	2359101	1042332	11725	1157180	26379	2254	8.80	415.18	1783.37	74.13	26212	18531	34988
pa_manual_zero	random	3	300000	0.1	1	15	2.0158	0:00:02	69.75	83.31	63.14	63.56	0.00	0.00	53.24	1.58	ok	1	268028	260367	0.00	GapSeed	15	1	1	0	Gap	17868	43781	43781	2389581	2625425	1123969	16538	410210	26383	6253	9.80	434.34	1537.36	72.96	26212	16680	34959
pa_manual_unordered	random	3	300000	0.1	1	15	3.3398	0:00:03	75.82	87.93	69.37	69.79	0.00	0.00	71.84	2.91	ok	1	268028	260367	0.00	Unordered	15	1	1	0	Zero	17608	11468	11468	2814940	3072205	1300683	19035	3460870	11122	0	11.46	291.30	3013.59	0.00	26212	12280	34524
pa_manual	random	3	300000	0.1	1	16	3.2683	0:00:03	66.04	94.79	59.70	60.12	0.00	0.00	64.43	2.62	ok	1	268028	260367	0.00	GapSeed	16	1	1	0	Gap	16751	39209	39086	3096022	3367136	1431298	17692	1894693	23864	1868	12.56	410.07	2818.03	78.57	26212	18042	32882
pa_manual_zero	random	3	300000	0.1	1	16	3.0977	0:00:03	116.90	132.68	110.34	110.75	0.00	0.00	71.53	2.67	ok	1	268028	260367	0.00	GapSeed	16	1	1	0	Gap	16751	39209	39209	3371904	3650268	1517680	23018	694145	23883	5786	13.62	416.50	2634.58	78.30	26212	16245	32865
pa_manual_unordered	random	3	300000	0.1	1	16	4.1270	0:00:04	117.62	129.85	111.20	111.60	0.00	0.00	69.02	3.45	ok	1	268028	260367	0.00	Unordered	16	1	1	0	Zero	16682	10529	10529	3787076	4083302	1675110	25453	4594306	10271	0	15.23	282.66	3778.89	0.00	26212	12306	32848
pa_manual	random	3	300000	0.1	1	17	5.1569	0:00:05	105.50	117.92	98.93	99.36	0.00	0.00	79.77	4.61	ok	1	268028	260367	0.00	GapSeed	17	1	1	0	Gap	15766	35223	35193	4732859	5068607	2038145	27552	3280079	21642	1526	18.91	418.69	4707.03	92.71	26212	17628	30967
pa_manual_zero	random	3	300000	0.1	1	17	4.5442	0:00:04	123.94	142.46	117.45	117.87	0.00	0.00	71.46	3.75	ok	1	268028	260367	0.00	GapSeed	17	1	1	0	Gap	15766	35223	35223	5034812	5371343	2131709	33660	1592626	21643	5169	20.04	393.91	4105.65	88.83	26212	15910	30954
pa_manual_unordered	random	3	300000	0.1	1	17	6.6489	0:00:06	125.86	171.38	121.91	122.35	0.00	0.00	80.85	5.84	ok	1	268028	260367	0.00	Unordered	17	1	1	0	Zero	15752	9619	9619	5569216	5921505	2312704	37102	6762059	9400	0	22.09	279.85	6324.61	0.00	26212	12266	31066
