alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	dist-func	seeds	matches	f-match	expanded	explored	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	dm-fr
pa	100000	100	0.1	1	11	1.0	5.3208	0:00:05	32.67	45.40	26.94	27.37	0.00	0.00	87.21	5.14	100000	100	100	0.00	GapSeed	11	1	1		Gap	9	21	20	113	137	0	0	6	0	1.37	0.03	0.02	0.00	9	8	0.082
pa	100000	100	0.1	1	12	1.0	4.8926	0:00:04	32.55	45.40	26.94	27.38	0.00	0.00	84.82	4.63	100000	100	100	0.00	GapSeed	12	1	1		Gap	8	18	16	116	141	0	0	5	0	1.41	0.03	0.02	0.00	9	8	0.082
pa	100000	100	0.1	1	13	1.0	4.6051	0:00:04	32.64	45.40	26.91	27.35	0.00	0.00	77.95	4.06	100000	100	100	0.00	GapSeed	13	1	1		Gap	7	14	13	120	148	1	1	4	0	1.48	0.02	0.02	0.00	9	7	0.083
pa	100000	100	0.1	1	14	1.0	4.6514	0:00:04	32.73	45.40	26.95	27.40	0.00	0.00	77.51	4.09	100000	100	100	0.00	GapSeed	14	1	1		Gap	7	13	12	119	147	1	0	4	0	1.48	0.02	0.02	0.00	9	8	0.082
pa	100000	100	0.2	1	7	1.0	7.5121	0:00:07	33.26	45.66	27.13	27.61	4.61	0.00	84.78	6.93	100000	100	100	0.00	GapSeed	7	1	1		Gap	14	36	32	135	184	2	6	9	0	1.85	0.04	0.04	0.01	16	14	0.082
pa	100000	100	0.2	1	8	1.0	6.9846	0:00:06	33.18	45.66	27.16	27.62	4.12	0.00	88.48	6.76	100000	100	100	0.00	GapSeed	8	1	1		Gap	12	24	22	151	207	2	9	7	0	2.08	0.03	0.04	0.01	16	14	0.086
pa	100000	100	0.2	1	9	1.0	6.8416	0:00:06	33.33	45.66	27.14	27.59	6.63	0.00	82.98	6.21	100000	100	100	0.00	GapSeed	9	1	1		Gap	11	18	17	163	225	3	8	6	0	2.26	0.03	0.04	0.00	16	14	0.089
pa	100000	100	0.2	1	10	1.0	6.8878	0:00:06	33.30	45.66	27.13	27.61	4.10	0.00	84.04	6.34	100000	100	100	0.00	GapSeed	10	1	1		Gap	10	14	13	182	252	4	9	5	0	2.52	0.02	0.04	0.00	16	13	0.093
pa	100000	100	0.2	1	11	1.0	7.0615	0:00:07	33.48	45.66	27.12	27.56	0.00	0.00	82.30	6.37	100000	100	100	0.00	GapSeed	11	1	1		Gap	9	10	10	209	288	5	10	4	0	2.88	0.02	0.05	0.00	16	13	0.098
pa	33333	300	0.01	0	6	1.0	2.2975	0:00:02	28.59	41.37	22.79	23.24	19.20	0.00	67.79	2.03	33333	300	299	0.00	GapSeed	6	0	1		Gap	50	51	48	302	306	0	0	47	42	1.02	0.03	0.04	0.01	3	3	0.214
pa	33333	300	0.01	0	8	1.0	1.7748	0:00:01	28.59	41.37	22.78	23.21	0.00	0.00	56.87	1.49	33333	300	299	0.00	GapSeed	8	0	1		Gap	37	34	34	302	306	0	0	34	30	1.02	0.02	0.03	0.01	3	3	0.214
pa	33333	300	0.01	0	10	1.0	1.4931	0:00:01	28.82	41.24	22.74	23.20	0.00	0.00	34.80	1.00	33333	300	299	0.00	GapSeed	10	0	1		Gap	30	27	27	302	306	0	0	27	23	1.02	0.02	0.03	0.01	3	3	0.214
pa	33333	300	0.01	0	12	1.0	1.4016	0:00:01	28.45	41.24	22.71	23.14	0.00	0.00	37.22	0.99	33333	300	299	0.00	GapSeed	12	0	1		Gap	25	22	22	302	307	0	0	22	18	1.02	0.01	0.03	0.01	3	3	0.214
pa	33333	300	0.01	0	14	1.0	1.2611	0:00:01	28.53	41.24	22.74	23.18	0.00	0.00	40.43	1.00	33333	300	299	0.00	GapSeed	14	0	1		Gap	21	18	18	302	307	0	0	18	14	1.02	0.01	0.02	0.00	3	3	0.213
pa	33333	300	0.01	0	17	1.0	1.0937	0:00:01	28.40	41.24	22.75	23.22	0.00	0.00	47.15	1.00	33333	300	299	0.00	GapSeed	17	0	1		Gap	17	14	14	302	307	0	0	14	10	1.02	0.01	0.02	0.00	3	3	0.213
pa	33333	300	0.01	0	20	1.0	1.0526	0:00:01	28.58	41.24	22.73	23.19	0.00	0.00	0.00	0.49	33333	300	299	0.00	GapSeed	20	0	1		Gap	15	12	12	302	307	0	0	12	8	1.03	0.01	0.02	0.00	3	3	0.213
pa	33333	300	0.01	0	25	1.0	0.9514	0:00:00	28.56	41.24	22.72	23.16	0.00	0.00	0.00	0.49	33333	300	299	0.00	GapSeed	25	0	1		Gap	12	9	9	302	307	0	0	9	6	1.03	0.01	0.02	0.00	3	3	0.212
pa	33333	300	0.01	0	31	1.0	0.8426	0:00:00	28.67	41.24	22.73	23.17	0.00	0.00	0.00	0.49	33333	300	299	0.00	GapSeed	31	0	1		Gap	9	6	6	302	308	0	0	6	3	1.03	0.01	0.02	0.00	3	2	0.211
pa	33333	300	0.05	0	6	1.0	2.4495	0:00:02	28.38	41.24	22.74	23.20	0.00	0.00	63.08	2.04	33333	300	300	0.00	GapSeed	6	0	1		Gap	50	43	40	311	341	0	0	38	22	1.14	0.02	0.05	0.01	13	12	0.131
pa	33333	300	0.05	0	8	1.0	2.0222	0:00:02	28.30	41.24	22.73	23.15	19.20	0.00	49.95	1.49	33333	300	300	0.00	GapSeed	8	0	1		Gap	37	26	26	314	348	0	0	25	13	1.16	0.02	0.04	0.01	13	12	0.130
pa	33333	300	0.05	0	10	1.0	1.8020	0:00:01	28.45	41.37	22.76	23.20	0.00	0.00	56.61	1.51	33333	300	300	0.00	GapSeed	10	0	1		Gap	30	19	19	319	356	0	1	19	8	1.19	0.01	0.04	0.01	13	11	0.129
pa	33333	300	0.05	0	12	1.0	1.6866	0:00:01	29.21	41.37	22.81	23.26	0.00	0.00	61.05	1.51	33333	300	300	0.00	GapSeed	12	0	1		Gap	25	14	14	325	366	0	2	14	5	1.22	0.01	0.04	0.00	13	11	0.128
pa	33333	300	0.05	0	14	1.0	1.6647	0:00:01	28.96	41.37	22.79	23.22	0.00	0.00	62.44	1.52	33333	300	300	0.00	GapSeed	14	0	1		Gap	21	11	11	334	380	1	5	10	3	1.27	0.01	0.04	0.00	13	10	0.126
pa	33333	300	0.05	0	17	1.0	1.6967	0:00:01	29.17	41.37	22.77	23.21	0.00	0.00	60.16	1.50	33333	300	300	0.00	GapSeed	17	0	1		Gap	17	7	7	353	407	1	9	7	1	1.36	0.01	0.04	0.00	13	10	0.125
pa	33333	300	0.05	0	20	1.0	1.8399	0:00:01	29.10	41.37	22.80	23.25	0.00	0.00	55.45	1.49	33333	300	300	0.00	GapSeed	20	0	1		Gap	15	6	6	373	437	1	11	5	1	1.46	0.01	0.05	0.00	13	9	0.126
pa	33333	300	0.1	0	6	1.0	3.3629	0:00:03	29.20	41.24	22.75	23.20	0.00	0.00	75.23	2.96	33333	300	300	0.00	GapSeed	6	0	1		Gap	50	34	31	349	426	1	9	29	10	1.42	0.02	0.07	0.01	26	21	0.116
pa	33333	300	0.1	0	8	1.0	3.2657	0:00:03	29.04	41.37	22.76	23.18	0.00	0.00	75.67	2.93	33333	300	300	0.00	GapSeed	8	0	1		Gap	37	19	19	400	500	2	33	18	4	1.67	0.02	0.08	0.01	26	19	0.121
pa	33333	300	0.1	0	10	1.0	3.3344	0:00:03	29.05	41.37	22.80	23.22	0.00	0.00	77.09	3.06	33333	300	300	0.00	GapSeed	10	0	1		Gap	30	12	12	496	633	4	65	12	2	2.11	0.01	0.09	0.00	26	18	0.135
pa	33333	300	0.1	1	7	1.0	8.7821	0:00:08	29.14	41.40	22.84	23.26	0.00	0.00	86.66	8.05	33333	300	300	0.00	GapSeed	7	1	1		Gap	42	180	150	324	387	1	6	36	0	1.29	0.16	0.10	0.05	26	25	0.113
pa	33333	300	0.1	1	8	1.0	7.3030	0:00:07	29.05	41.40	22.80	23.29	0.00	0.00	85.43	6.72	33333	300	300	0.00	GapSeed	8	1	1		Gap	37	126	117	329	395	1	7	31	0	1.32	0.13	0.08	0.03	26	24	0.114
pa	33333	300	0.1	1	9	1.0	6.6113	0:00:06	29.05	41.40	22.80	23.22	0.00	0.00	86.21	6.19	33333	300	300	0.00	GapSeed	9	1	1		Gap	33	99	95	334	404	2	9	27	0	1.35	0.12	0.08	0.03	26	24	0.115
pa	33333	300	0.1	1	10	1.0	6.4592	0:00:06	28.80	41.42	22.82	23.23	0.00	0.00	87.01	6.09	33333	300	300	0.00	GapSeed	10	1	1		Gap	30	81	80	341	414	2	10	23	0	1.38	0.11	0.08	0.02	26	24	0.116
pa	33333	300	0.1	1	11	1.0	5.7635	0:00:05	28.99	41.43	22.82	23.25	0.00	0.00	89.37	5.64	33333	300	300	0.00	GapSeed	11	1	1		Gap	27	68	66	349	428	3	15	20	0	1.43	0.10	0.07	0.02	26	24	0.116
pa	33333	300	0.1	1	12	1.0	5.5722	0:00:05	29.08	41.40	22.79	23.22	0.00	0.00	83.83	5.16	33333	300	300	0.00	GapSeed	12	1	1		Gap	25	57	57	358	441	3	16	18	0	1.47	0.09	0.07	0.02	26	23	0.118
pa	33333	300	0.1	1	13	1.0	5.0531	0:00:05	28.90	41.41	22.83	23.31	0.00	0.00	82.08	4.63	33333	300	300	0.00	GapSeed	13	1	1		Gap	23	49	48	370	459	4	21	16	0	1.53	0.08	0.06	0.01	26	23	0.119
pa	33333	300	0.1	1	14	1.0	5.1507	0:00:05	28.82	41.40	22.84	23.27	0.00	0.00	80.01	4.61	33333	300	300	0.00	GapSeed	14	1	1		Gap	21	41	40	386	483	4	29	13	0	1.61	0.08	0.07	0.01	26	22	0.120
pa	33333	300	0.2	1	7	1.0	8.7665	0:00:08	28.92	41.40	22.84	23.29	19.20	0.00	88.46	8.24	33333	300	300	0.00	GapSeed	7	1	1		Gap	42	136	106	432	592	7	85	30	0	1.97	0.13	0.13	0.04	47	42	0.117
pa	33333	300	0.2	1	8	1.0	8.0494	0:00:08	29.11	41.40	22.84	23.29	0.00	0.00	88.82	7.63	33333	300	300	0.00	GapSeed	8	1	1		Gap	37	84	75	489	673	10	107	24	0	2.24	0.11	0.13	0.02	47	41	0.126
pa	33333	300	0.2	1	9	1.0	8.0912	0:00:08	28.78	41.40	22.84	23.27	0.00	0.00	89.36	7.71	33333	300	300	0.00	GapSeed	9	1	1		Gap	33	59	56	579	794	13	140	20	0	2.65	0.09	0.14	0.02	47	40	0.139
pa	33333	300	0.2	1	10	1.0	8.4680	0:00:08	29.14	41.40	22.92	23.35	0.00	0.00	90.58	8.16	33333	300	300	0.00	GapSeed	10	1	1		Gap	30	44	44	714	970	18	177	17	0	3.23	0.08	0.17	0.02	47	39	0.158
pa	33333	300	0.2	1	11	1.0	9.7137	0:00:09	28.74	41.51	22.93	23.35	0.00	0.00	89.98	9.23	33333	300	300	0.00	GapSeed	11	1	1		Gap	27	34	33	950	1269	24	244	14	0	4.23	0.08	0.21	0.01	47	38	0.186
pa	10000	1000	0.01	0	6	1.0	2.2865	0:00:02	26.82	38.15	20.88	21.32	0.00	0.00	67.35	2.02	10000	1000	1000	0.00	GapSeed	6	0	1		Gap	166	198	164	1004	1022	0	0	157	136	1.02	0.10	0.12	0.04	9	9	0.274
pa	10000	1000	0.01	0	8	1.0	1.7436	0:00:01	26.95	38.20	20.79	21.21	0.00	0.00	58.51	1.50	10000	1000	1000	0.00	GapSeed	8	0	1		Gap	125	118	117	1005	1023	0	0	116	101	1.02	0.07	0.10	0.03	9	9	0.273
pa	10000	1000	0.01	0	10	1.0	1.4983	0:00:01	27.12	38.15	20.77	21.22	0.00	0.00	33.39	0.99	10000	1000	1000	0.00	GapSeed	10	0	1		Gap	100	92	91	1005	1023	0	0	91	77	1.02	0.05	0.09	0.02	9	9	0.273
pa	10000	1000	0.01	0	12	1.0	1.3397	0:00:01	27.19	38.18	20.76	21.21	0.00	0.00	38.06	1.00	10000	1000	1000	0.00	GapSeed	12	0	1		Gap	83	74	74	1005	1024	0	0	74	61	1.02	0.05	0.08	0.02	9	9	0.272
pa	10000	1000	0.01	0	14	1.0	1.2331	0:00:01	26.97	38.15	20.76	21.28	0.00	0.00	41.30	0.99	10000	1000	1000	0.00	GapSeed	14	0	1		Gap	71	62	62	1005	1024	0	0	62	49	1.02	0.04	0.07	0.02	9	9	0.272
pa	10000	1000	0.01	0	17	1.0	1.1196	0:00:01	27.02	38.15	20.73	21.16	19.11	0.00	44.68	0.99	10000	1000	1000	0.00	GapSeed	17	0	1		Gap	58	49	49	1006	1025	0	0	49	37	1.03	0.04	0.07	0.01	9	9	0.271
pa	10000	1000	0.01	0	20	1.0	1.0351	0:00:01	26.97	38.16	20.75	21.19	0.00	0.00	0.00	0.51	10000	1000	1000	0.00	GapSeed	20	0	1		Gap	50	41	41	1006	1026	0	0	41	29	1.03	0.03	0.06	0.01	9	9	0.270
pa	10000	1000	0.01	0	25	1.0	0.9527	0:00:00	26.98	38.19	20.76	21.19	0.00	0.00	0.00	0.48	10000	1000	1000	0.00	GapSeed	25	0	1		Gap	40	31	31	1007	1028	0	0	31	21	1.03	0.03	0.06	0.01	9	8	0.268
pa	10000	1000	0.01	0	31	1.0	0.8550	0:00:00	26.24	38.08	20.72	21.15	0.00	0.00	0.00	0.49	10000	1000	1000	0.00	GapSeed	31	0	1		Gap	32	24	24	1009	1030	0	0	24	14	1.03	0.02	0.06	0.01	9	8	0.266
pa	10000	1000	0.05	0	6	1.0	2.4142	0:00:02	27.09	38.29	20.89	21.32	19.11	0.00	62.96	1.99	10000	1000	999	0.00	GapSeed	6	0	1		Gap	166	171	137	1037	1143	1	1	128	73	1.14	0.09	0.15	0.03	44	40	0.168
pa	10000	1000	0.05	0	8	1.0	1.8854	0:00:01	27.07	38.15	20.83	21.25	0.00	0.00	54.11	1.53	10000	1000	999	0.00	GapSeed	8	0	1		Gap	125	92	90	1052	1169	2	3	88	44	1.17	0.06	0.13	0.02	44	39	0.167
pa	10000	1000	0.05	0	10	1.0	1.7311	0:00:01	27.07	38.15	20.87	21.30	0.00	0.00	59.52	1.52	10000	1000	999	0.00	GapSeed	10	0	1		Gap	100	65	65	1074	1204	2	11	64	27	1.20	0.05	0.12	0.02	44	37	0.164
pa	10000	1000	0.05	0	12	1.0	1.6687	0:00:01	26.98	38.15	20.82	21.30	0.00	0.00	61.73	1.50	10000	1000	999	0.00	GapSeed	12	0	1		Gap	83	49	49	1106	1254	3	29	48	17	1.25	0.04	0.12	0.01	44	36	0.162
pa	10000	1000	0.05	0	14	1.0	1.7228	0:00:01	26.80	38.20	20.87	21.30	0.00	0.00	59.41	1.51	10000	1000	999	0.00	GapSeed	14	0	1		Gap	71	38	38	1155	1326	4	64	37	11	1.33	0.03	0.13	0.01	44	34	0.159
pa	10000	1000	0.05	0	17	1.0	1.9944	0:00:01	27.15	38.28	20.94	21.40	0.00	0.00	52.12	1.53	10000	1000	999	0.00	GapSeed	17	0	1		Gap	58	27	27	1285	1509	6	155	26	6	1.51	0.03	0.17	0.01	44	32	0.157
pa	10000	1000	0.05	0	20	1.0	2.5541	0:00:02	27.35	38.42	21.01	21.44	0.00	0.00	61.60	2.07	10000	1000	999	0.00	GapSeed	20	0	1		Gap	50	20	20	1535	1840	7	273	20	3	1.84	0.02	0.22	0.01	44	31	0.160
pa	10000	1000	0.1	0	6	1.0	2.8032	0:00:02	26.96	38.28	20.94	21.36	0.00	0.00	72.77	2.51	10000	1000	999	0.00	GapSeed	6	0	1		Gap	166	144	110	1187	1456	6	67	99	33	1.46	0.07	0.20	0.03	85	70	0.149
pa	10000	1000	0.1	0	8	1.0	3.0218	0:00:03	27.22	38.43	21.03	21.46	0.00	0.00	67.50	2.50	10000	1000	999	0.00	GapSeed	8	0	1		Gap	125	67	65	1430	1799	10	297	62	15	1.80	0.05	0.25	0.02	85	65	0.158
pa	10000	1000	0.1	0	10	1.0	4.8081	0:00:04	27.33	38.56	21.20	21.62	0.00	0.00	85.01	4.59	10000	1000	999	0.00	GapSeed	10	0	1		Gap	100	43	43	2165	2752	18	853	41	7	2.75	0.04	0.44	0.02	85	60	0.190
pa	10000	1000	0.1	1	7	1.0	10.2595	0:00:10	27.40	38.52	21.15	21.58	0.00	0.00	89.86	9.70	10000	1000	999	0.00	GapSeed	7	1	1		Gap	142	919	593	1081	1294	4	78	124	0	1.29	0.59	0.42	0.25	85	82	0.146
pa	10000	1000	0.1	1	8	1.0	7.7019	0:00:07	27.29	38.54	21.11	21.68	0.00	0.00	86.60	7.14	10000	1000	999	0.00	GapSeed	8	1	1		Gap	125	504	420	1099	1323	6	89	106	0	1.32	0.45	0.30	0.14	85	81	0.147
pa	10000	1000	0.1	1	9	1.0	6.7704	0:00:06	27.42	38.42	21.07	21.52	0.00	0.00	90.69	6.61	10000	1000	999	0.00	GapSeed	9	1	1		Gap	111	354	331	1121	1359	7	114	91	0	1.36	0.40	0.26	0.10	85	80	0.148
pa	10000	1000	0.1	1	10	1.0	6.1159	0:00:06	27.07	38.39	21.00	21.57	0.00	0.00	84.37	5.63	10000	1000	999	0.00	GapSeed	10	1	1		Gap	100	280	273	1148	1402	9	137	79	0	1.40	0.35	0.25	0.08	85	79	0.149
pa	10000	1000	0.1	1	11	1.0	5.7052	0:00:05	27.51	38.39	21.04	21.46	0.00	0.00	79.94	5.04	10000	1000	999	0.00	GapSeed	11	1	1		Gap	90	230	227	1185	1458	11	178	68	0	1.46	0.32	0.24	0.07	85	78	0.150
pa	10000	1000	0.1	1	12	1.0	5.5124	0:00:05	27.32	38.38	21.00	21.60	0.00	0.00	83.82	5.11	10000	1000	999	0.00	GapSeed	12	1	1		Gap	83	195	194	1223	1515	12	196	60	0	1.52	0.30	0.24	0.06	85	77	0.152
pa	10000	1000	0.1	1	13	1.0	5.2865	0:00:05	27.20	38.35	21.02	21.46	0.00	0.00	87.39	5.11	10000	1000	999	0.00	GapSeed	13	1	1		Gap	76	165	164	1283	1601	15	245	53	0	1.60	0.28	0.24	0.05	85	76	0.154
pa	10000	1000	0.1	1	14	1.0	5.3593	0:00:05	27.38	38.51	21.12	21.62	0.00	0.00	85.83	5.09	10000	1000	999	0.00	GapSeed	14	1	1		Gap	71	143	142	1343	1686	17	279	47	0	1.69	0.27	0.26	0.05	85	75	0.156
pa	10000	1000	0.2	1	7	1.0	10.2303	0:00:10	27.14	38.54	21.16	21.62	19.11	0.00	91.44	9.84	10000	1000	1000	0.00	GapSeed	7	1	1		Gap	142	768	442	1460	2000	27	523	102	0	2.00	0.49	0.52	0.19	157	142	0.152
pa	10000	1000	0.2	1	8	1.0	8.6163	0:00:08	27.36	38.51	21.17	21.60	0.00	0.00	88.89	8.15	10000	1000	1000	0.00	GapSeed	8	1	1		Gap	125	361	277	1695	2325	37	721	83	0	2.33	0.37	0.48	0.10	157	138	0.164
pa	10000	1000	0.2	1	9	1.0	8.7474	0:00:08	27.45	38.62	21.22	21.66	0.00	0.00	87.79	8.16	10000	1000	1000	0.00	GapSeed	9	1	1		Gap	111	221	198	2105	2868	52	1086	69	0	2.87	0.31	0.55	0.07	157	134	0.185
pa	10000	1000	0.2	1	10	1.0	10.0772	0:00:10	27.67	38.73	21.40	21.85	0.00	0.00	92.69	9.85	10000	1000	1000	0.00	GapSeed	10	1	1		Gap	100	156	150	2858	3821	75	1704	59	0	3.82	0.27	0.73	0.06	157	130	0.218
pa	10000	1000	0.2	1	11	1.0	13.7433	0:00:13	27.81	38.89	21.57	22.00	0.00	0.00	94.07	13.43	10000	1000	1000	0.00	GapSeed	11	1	1		Gap	90	117	115	4530	5853	120	2981	51	0	5.85	0.25	1.12	0.06	157	125	0.280
pa	3333	3000	0.01	0	6	1.0	2.6166	0:00:02	26.64	37.80	20.64	21.06	0.00	0.00	60.38	2.05	3333	3000	2999	0.00	GapSeed	6	0	1		Gap	500	841	533	3012	3068	0	0	474	381	1.02	0.33	0.43	0.19	27	27	0.277
pa	3333	3000	0.01	0	8	1.0	1.6906	0:00:01	26.64	37.68	20.60	21.03	19.09	0.00	60.34	1.48	3333	3000	2999	0.00	GapSeed	8	0	1		Gap	375	368	353	3013	3069	0	0	349	303	1.02	0.19	0.29	0.08	27	27	0.277
pa	3333	3000	0.01	0	10	1.0	1.4099	0:00:01	26.86	37.69	20.59	21.01	0.00	0.00	37.79	1.03	3333	3000	2999	0.00	GapSeed	10	0	1		Gap	300	276	275	3014	3071	0	0	274	232	1.02	0.15	0.25	0.07	27	26	0.276
pa	3333	3000	0.01	0	12	1.0	1.2747	0:00:01	26.77	37.67	20.56	21.04	0.00	0.00	41.58	1.01	3333	3000	2999	0.00	GapSeed	12	0	1		Gap	250	225	225	3015	3073	0	0	224	184	1.02	0.13	0.24	0.06	27	26	0.276
pa	3333	3000	0.01	0	14	1.0	1.1746	0:00:01	26.53	37.66	20.54	20.97	0.00	0.00	44.32	1.01	3333	3000	2999	0.00	GapSeed	14	0	1		Gap	214	189	189	3016	3075	0	0	188	149	1.03	0.11	0.22	0.05	27	26	0.275
pa	3333	3000	0.01	0	17	1.0	1.0489	0:00:01	26.51	37.56	20.53	20.96	0.00	0.00	48.60	1.00	3333	3000	2999	0.00	GapSeed	17	0	1		Gap	176	151	151	3017	3078	0	0	151	114	1.03	0.10	0.20	0.04	27	26	0.274
