alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	dist	seeds	matches	expanded	explored	dbl	ret	band	precom	align	prune	dist		m_pat	m_exp
pa	10000	100	0.01	0	20	0.4	0.3758	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	20	0	1		Gap	5	4	101	102	0	0	1.02	0.00	0.01	0.00	1	1		
pa	10000	100	0.01	0	20	0.8	0.4299	0:00:00	2.81	7.10	0.45	0.76	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	20	0	1		Gap	5	4	101	102	0	0	1.02	0.00	0.01	0.00	1	1		
pa	10000	100	0.01	0	20	1.0	0.4245	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	100	0.00	GapSeed	20	0	1		Gap	5	4	101	102	0	0	1.02	0.00	0.01	0.00	1	1		
pa	10000	100	0.01	0	32	0.4	0.5651	0:00:00	9.94	20.92	3.50	4.22	0.00	0.00	0.00	0.24	10000	100	100	0.00	GapSeed	32	0	1		Gap	3	207	101	102	0	0	1.02	0.02	0.01	0.00	1	1		
pa	10000	100	0.01	0	32	0.8	0.5360	0:00:00	9.95	20.79	3.55	4.27	0.00	0.00	0.00	0.26	10000	100	100	0.00	GapSeed	32	0	1		Gap	3	207	101	102	0	0	1.02	0.02	0.01	0.00	1	1		
pa	10000	100	0.01	0	32	1.0	0.5634	0:00:00	10.02	20.79	3.49	4.19	0.00	0.00	0.00	0.25	10000	100	100	0.00	GapSeed	32	0	1		Gap	3	207	101	102	0	0	1.02	0.02	0.01	0.00	1	1		
pa	10000	100	0.05	0	6	0.4	0.6433	0:00:00	9.94	20.92	3.63	4.37	0.00	0.00	0.00	0.19	10000	100	99	0.00	GapSeed	6	0	1		Gap	16	12	103	113	0	0	1.13	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	6	0.8	0.6116	0:00:00	9.91	20.92	3.57	4.32	0.00	0.00	0.00	0.25	10000	100	99	0.00	GapSeed	6	0	1		Gap	16	12	103	113	0	0	1.13	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	6	1.0	0.6084	0:00:00	9.83	20.92	3.57	4.34	0.00	0.00	0.00	0.24	10000	100	99	0.00	GapSeed	6	0	1		Gap	16	12	103	113	0	0	1.13	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	7	0.4	0.5539	0:00:00	9.96	20.92	3.60	4.33	0.00	0.00	0.00	0.28	10000	100	99	0.00	GapSeed	7	0	1		Gap	14	10	104	113	0	0	1.14	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	7	0.8	0.5905	0:00:00	9.95	20.92	3.59	4.41	0.00	0.00	0.00	0.22	10000	100	99	0.00	GapSeed	7	0	1		Gap	14	10	104	113	0	0	1.14	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	7	1.0	0.5988	0:00:00	9.79	20.92	3.57	4.30	0.00	0.00	0.00	0.19	10000	100	99	0.00	GapSeed	7	0	1		Gap	14	10	104	113	0	0	1.14	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	8	0.4	0.5791	0:00:00	9.91	20.92	3.58	4.35	0.00	0.00	0.00	0.21	10000	100	99	0.00	GapSeed	8	0	1		Gap	12	8	104	114	0	0	1.15	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	8	0.8	0.5231	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	99	0.00	GapSeed	8	0	1		Gap	12	8	104	114	0	0	1.15	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	8	1.0	0.4845	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	99	0.00	GapSeed	8	0	1		Gap	12	8	104	114	0	0	1.15	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	9	0.4	0.4678	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	99	0.00	GapSeed	9	0	1		Gap	11	7	105	115	0	0	1.15	0.01	0.01	0.00	4	4		
pa	10000	100	0.05	0	9	0.8	0.5305	0:00:00	10.06	20.92	3.58	4.28	0.00	0.00	0.00	0.26	10000	100	99	0.00	GapSeed	9	0	1		Gap	11	7	104	115	0	0	1.15	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	9	1.0	0.5663	0:00:00	9.71	20.92	3.55	4.24	0.00	0.00	0.00	0.23	10000	100	99	0.00	GapSeed	9	0	1		Gap	11	7	104	115	0	0	1.15	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	10	0.4	0.5307	0:00:00	9.86	20.92	3.59	4.35	0.00	0.00	0.00	0.21	10000	100	99	0.00	GapSeed	10	0	1		Gap	10	6	105	115	0	0	1.16	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	10	0.8	0.5570	0:00:00	9.66	20.92	3.57	4.32	0.00	0.00	0.00	0.21	10000	100	99	0.00	GapSeed	10	0	1		Gap	10	6	105	115	0	0	1.16	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	10	1.0	0.5507	0:00:00	9.87	20.92	3.59	4.36	0.00	0.00	0.00	0.20	10000	100	99	0.00	GapSeed	10	0	1		Gap	10	6	105	115	0	0	1.16	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	11	0.8	0.5303	0:00:00	9.87	20.92	3.54	4.30	0.00	0.00	0.00	0.24	10000	100	99	0.00	GapSeed	11	0	1		Gap	9	5	105	116	0	0	1.17	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	11	1.0	0.5296	0:00:00	9.79	20.92	3.56	4.30	0.00	0.00	0.00	0.23	10000	100	99	0.00	GapSeed	11	0	1		Gap	9	5	105	116	0	0	1.17	0.01	0.02	0.00	4	4		
pa	10000	100	0.05	0	15	0.8	0.4306	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	99	0.00	GapSeed	15	0	1		Gap	6	3	108	121	0	0	1.21	0.00	0.01	0.00	4	3		
pa	10000	100	0.05	0	15	1.0	0.4809	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	10000	100	99	0.00	GapSeed	15	0	1		Gap	6	3	108	120	0	0	1.21	0.00	0.02	0.00	4	3		
pa	10000	100	0.05	0	20	0.8	0.4328	0:00:00	2.86	7.10	0.45	0.71	0.00	0.00	0.00	0.00	10000	100	99	0.00	GapSeed	20	0	1		Gap	5	1	109	123	0	0	1.24	0.00	0.01	0.00	4	3		
pa	10000	100	0.05	0	20	1.0	0.5381	0:00:00	9.92	20.92	3.53	4.28	0.00	0.00	0.00	0.18	10000	100	99	0.00	GapSeed	20	0	1		Gap	5	1	109	123	0	0	1.24	0.00	0.01	0.00	4	3		
pa	10000	100	0.2	0	6	1.0	1.0300	0:00:01	10.72	21.05	3.75	4.97	0.00	0.00	0.00	0.25	10000	100	100	0.00	GapSeed	6	0	1		Gap	16	6	229	312	2	25	3.12	0.01	0.07	0.00	16	11		
pa	10000	100	0.2	1	7	1.0	1.2605	0:00:01	10.58	21.05	3.70	4.90	0.00	0.00	42.31	0.78	10000	100	100	0.00	GapSeed	7	1	1		Gap	14	36	136	185	2	6	1.85	0.05	0.05	0.01	16	14		
pa	10000	100	0.2	1	8	1.0	1.2076	0:00:01	10.64	21.05	3.78	4.71	0.00	0.00	42.21	0.75	10000	100	100	0.00	GapSeed	8	1	1		Gap	12	24	152	209	2	10	2.10	0.04	0.05	0.01	16	14		
pa	10000	100	0.2	1	9	1.0	1.1698	0:00:01	10.82	21.05	3.73	4.80	0.00	0.00	44.46	0.75	10000	100	100	0.00	GapSeed	9	1	1		Gap	11	18	165	227	3	8	2.27	0.04	0.05	0.01	16	14		
pa	10000	100	0.2	1	10	1.0	1.1591	0:00:01	10.52	21.05	3.74	4.71	0.00	0.00	44.76	0.75	10000	100	100	0.00	GapSeed	10	1	1		Gap	10	14	184	254	4	9	2.54	0.03	0.05	0.00	16	13		
pa	10000	100	0.2	1	11	1.0	1.2045	0:00:01	10.46	21.05	3.70	4.65	0.00	0.00	41.47	0.75	10000	100	100	0.00	GapSeed	11	1	1		Gap	9	11	211	290	5	10	2.90	0.03	0.06	0.00	16	13		
pa	3333	300	0.01	0	6	0.4	0.5732	0:00:00	9.36	20.23	3.18	3.86	0.00	0.00	0.00	0.24	3333	300	299	0.00	GapSeed	6	0	1		Gap	50	51	302	306	0	0	1.02	0.04	0.05	0.01	3	3		
pa	3333	300	0.01	0	6	0.8	0.5774	0:00:00	9.47	20.36	3.19	3.89	0.00	0.00	0.00	0.25	3333	300	299	0.00	GapSeed	6	0	1		Gap	50	51	302	306	0	0	1.02	0.04	0.05	0.02	3	3		
pa	3333	300	0.01	0	6	1.0	0.6024	0:00:00	9.48	20.23	3.18	3.85	0.00	0.00	0.00	0.21	3333	300	299	0.00	GapSeed	6	0	1		Gap	50	51	302	306	0	0	1.02	0.03	0.05	0.02	3	3		
pa	3333	300	0.01	0	7	0.4	0.5201	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	7	0	1		Gap	42	40	302	306	0	0	1.02	0.03	0.04	0.01	3	3		
pa	3333	300	0.01	0	7	0.8	0.4973	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	7	0	1		Gap	42	40	302	306	0	0	1.02	0.03	0.04	0.01	3	3		
pa	3333	300	0.01	0	7	1.0	0.5058	0:00:00	2.82	7.10	0.45	0.76	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	7	0	1		Gap	42	40	302	306	0	0	1.02	0.03	0.04	0.01	3	3		
pa	3333	300	0.01	0	8	0.4	0.5403	0:00:00	2.90	7.10	0.45	0.76	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	8	0	1		Gap	37	34	302	306	0	0	1.02	0.03	0.04	0.01	3	3		
pa	3333	300	0.01	0	8	0.8	0.5612	0:00:00	9.63	20.23	3.17	3.89	0.00	0.00	0.00	0.21	3333	300	299	0.00	GapSeed	8	0	1		Gap	37	34	302	306	0	0	1.02	0.03	0.04	0.01	3	3		
pa	3333	300	0.01	0	8	1.0	0.5468	0:00:00	9.29	20.23	3.19	3.97	0.00	0.00	0.00	0.21	3333	300	299	0.00	GapSeed	8	0	1		Gap	37	34	302	306	0	0	1.02	0.03	0.04	0.01	3	3		
pa	3333	300	0.01	0	9	0.4	0.4824	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	9	0	1		Gap	33	30	302	306	0	0	1.02	0.02	0.04	0.01	3	3		
pa	3333	300	0.01	0	9	0.8	0.4442	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	9	0	1		Gap	33	30	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	9	1.0	0.4428	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	9	0	1		Gap	33	30	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	10	0.4	0.4730	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	10	0	1		Gap	30	27	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	10	0.8	0.4848	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	10	0	1		Gap	30	27	302	306	0	0	1.02	0.02	0.04	0.01	3	3		
pa	3333	300	0.01	0	10	1.0	0.5061	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	10	0	1		Gap	30	27	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	11	0.4	0.4952	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	11	0	1		Gap	27	24	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	11	0.8	0.4271	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	11	0	1		Gap	27	24	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	11	1.0	0.4295	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	11	0	1		Gap	27	24	302	306	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	15	0.4	0.4043	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	15	0	1		Gap	20	17	302	307	0	0	1.02	0.02	0.02	0.00	3	3		
pa	3333	300	0.01	0	15	0.8	0.4559	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	15	0	1		Gap	20	17	302	307	0	0	1.02	0.02	0.03	0.01	3	3		
pa	3333	300	0.01	0	15	1.0	0.3898	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	15	0	1		Gap	20	17	302	307	0	0	1.02	0.02	0.03	0.00	3	3		
pa	3333	300	0.01	0	20	0.4	0.3743	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	20	0	1		Gap	15	12	302	307	0	0	1.02	0.01	0.02	0.00	3	3		
pa	3333	300	0.01	0	20	0.8	0.4467	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	20	0	1		Gap	15	12	302	307	0	0	1.02	0.01	0.02	0.00	3	3		
pa	3333	300	0.01	0	20	1.0	0.3629	0:00:00	0.00	1.31	0.02	0.02	0.00	0.00	0.00	0.00	3333	300	299	0.00	GapSeed	20	0	1		Gap	15	12	302	307	0	0	1.02	0.01	0.02	0.00	3	3		
pa	3333	300	0.01	0	32	0.4	1.3425	0:00:01	9.59	20.41	3.24	4.03	0.00	0.00	38.76	0.79	3333	300	299	0.00	GapSeed	32	0	1		Gap	9	2420	305	314	0	0	1.05	0.29	0.03	0.01	3	1		
pa	3333	300	0.01	0	32	0.8	1.3814	0:00:01	9.42	20.41	3.29	4.02	0.00	0.00	37.64	0.73	3333	300	299	0.00	GapSeed	32	0	1		Gap	9	2420	305	314	0	0	1.05	0.29	0.03	0.01	3	1		
pa	3333	300	0.01	0	32	1.0	1.3333	0:00:01	9.38	20.41	3.30	3.96	0.00	0.00	38.92	0.79	3333	300	299	0.00	GapSeed	32	0	1		Gap	9	2420	305	314	0	0	1.05	0.29	0.03	0.01	3	1		
pa	3333	300	0.05	0	6	0.4	0.8567	0:00:00	9.44	20.36	3.21	3.91	0.00	0.00	0.00	0.02	3333	300	300	0.00	GapSeed	6	0	1		Gap	50	43	311	342	0	2	1.14	0.04	0.07	0.01	13	12		
pa	3333	300	0.05	0	6	0.8	0.9125	0:00:00	9.58	20.36	3.25	4.07	0.00	0.00	0.00	0.04	3333	300	300	0.00	GapSeed	6	0	1		Gap	50	43	311	341	0	2	1.14	0.06	0.08	0.02	13	12		
pa	3333	300	0.05	0	6	1.0	0.8429	0:00:00	14.85	31.51	5.79	8.37	0.00	0.00	0.00	0.10	3333	300	300	0.00	GapSeed	6	0	1		Gap	50	43	311	341	0	2	1.14	0.05	0.09	0.02	13	12		
pa	3333	300	0.05	0	7	0.4	0.7798	0:00:00	9.58	20.36	3.27	4.02	0.00	0.00	0.00	0.04	3333	300	300	0.00	GapSeed	7	0	1		Gap	42	32	314	346	0	4	1.16	0.02	0.07	0.01	13	12		
pa	3333	300	0.05	0	7	0.8	0.7001	0:00:00	9.40	20.36	3.23	3.88	0.00	0.00	0.00	0.05	3333	300	300	0.00	GapSeed	7	0	1		Gap	42	32	313	345	0	4	1.15	0.02	0.06	0.02	13	12		
pa	3333	300	0.05	0	7	1.0	0.7270	0:00:00	10.19	20.36	3.31	4.08	0.00	0.00	0.00	0.09	3333	300	300	0.00	GapSeed	7	0	1		Gap	42	32	313	345	0	4	1.15	0.03	0.07	0.02	13	12		
pa	3333	300	0.05	0	8	0.4	0.8513	0:00:00	9.50	20.36	3.23	4.12	0.00	0.00	0.00	0.03	3333	300	300	0.00	GapSeed	8	0	1		Gap	37	26	316	350	0	4	1.17	0.04	0.07	0.00	13	12		
pa	3333	300	0.05	0	8	0.8	0.8646	0:00:00	9.52	20.36	3.23	4.08	0.00	0.00	0.00	0.01	3333	300	300	0.00	GapSeed	8	0	1		Gap	37	26	315	348	0	4	1.16	0.02	0.09	0.02	13	12		
pa	3333	300	0.05	0	8	1.0	0.8935	0:00:00	9.57	20.36	3.20	3.95	0.00	0.00	0.00	0.01	3333	300	300	0.00	GapSeed	8	0	1		Gap	37	26	314	348	0	4	1.16	0.03	0.07	0.02	13	12		
pa	3333	300	0.05	0	9	0.4	0.8115	0:00:00	9.51	20.36	3.21	3.87	0.00	0.00	0.00	0.02	3333	300	300	0.00	GapSeed	9	0	1		Gap	33	22	319	355	0	5	1.18	0.03	0.06	0.01	13	11		
pa	3333	300	0.05	0	9	0.8	0.7201	0:00:00	9.64	20.36	3.22	3.85	0.00	0.00	0.00	0.08	3333	300	300	0.00	GapSeed	9	0	1		Gap	33	22	317	352	0	5	1.18	0.02	0.08	0.02	13	11		
pa	3333	300	0.05	0	9	1.0	0.8735	0:00:00	9.26	20.36	3.21	4.02	0.00	0.00	0.00	0.02	3333	300	300	0.00	GapSeed	9	0	1		Gap	33	22	317	352	0	5	1.17	0.02	0.09	0.02	13	11		
pa	3333	300	0.05	0	10	0.4	0.8103	0:00:00	9.52	20.36	3.23	4.08	0.00	0.00	0.00	0.03	3333	300	300	0.00	GapSeed	10	0	1		Gap	30	19	322	360	0	5	1.20	0.02	0.07	0.00	13	11		
pa	3333	300	0.05	0	10	0.8	0.9269	0:00:00	3.42	7.23	0.45	0.80	0.00	0.00	0.00	0.00	3333	300	300	0.00	GapSeed	10	0	1		Gap	30	19	320	357	0	6	1.19	0.03	0.07	0.01	13	11		
pa	3333	300	0.05	0	10	1.0	0.9527	0:00:00	24.93	39.89	9.95	15.72	0.00	0.00	0.00	0.18	3333	300	300	0.00	GapSeed	10	0	1		Gap	30	19	319	356	0	6	1.19	0.03	0.07	0.01	13	11		
pa	3333	300	0.05	0	11	0.8	0.6837	0:00:00	9.54	20.36	3.25	4.09	0.00	0.00	0.00	0.07	3333	300	300	0.00	GapSeed	11	0	1		Gap	27	16	323	362	0	7	1.21	0.02	0.06	0.01	13	11		
pa	3333	300	0.05	0	11	1.0	0.7736	0:00:00	9.37	20.36	3.31	4.14	0.00	0.00	0.00	0.06	3333	300	300	0.00	GapSeed	11	0	1		Gap	27	16	322	361	0	7	1.21	0.02	0.09	0.01	13	11		
pa	3333	300	0.05	0	15	0.8	0.7982	0:00:00	9.43	20.36	3.25	3.92	0.00	0.00	0.00	0.05	3333	300	300	0.00	GapSeed	15	0	1		Gap	20	10	341	390	1	10	1.30	0.02	0.08	0.01	13	10		
pa	3333	300	0.05	0	15	1.0	0.6998	0:00:00	9.38	20.36	3.21	3.91	0.00	0.00	0.00	0.03	3333	300	300	0.00	GapSeed	15	0	1		Gap	20	10	339	386	1	10	1.29	0.01	0.06	0.00	13	10		
pa	3333	300	0.05	0	20	0.8	0.7970	0:00:00	9.60	20.36	3.24	3.93	0.00	0.00	0.00	0.04	3333	300	300	0.00	GapSeed	20	0	1		Gap	15	6	379	445	1	13	1.49	0.01	0.09	0.00	13	9		
pa	3333	300	0.05	0	20	1.0	0.7001	0:00:00	10.19	20.36	3.27	3.97	0.00	0.00	0.00	0.07	3333	300	300	0.00	GapSeed	20	0	1		Gap	15	6	374	438	1	14	1.46	0.02	0.07	0.00	13	9		
pa	3333	300	0.2	0	6	1.0	1.3830	0:00:01	9.96	20.49	3.44	4.15	0.00	0.00	37.55	0.78	3333	300	299	0.00	GapSeed	6	0	1		Gap	50	23	1105	1451	14	387	4.84	0.02	0.32	0.02	47	33		
pa	3333	300	0.2	1	7	1.0	1.3492	0:00:01	10.27	20.50	3.36	4.08	0.00	0.00	37.77	0.77	3333	300	299	0.00	GapSeed	7	1	1		Gap	42	136	435	596	8	85	1.99	0.16	0.16	0.04	47	42		
pa	3333	300	0.2	1	8	1.0	1.3178	0:00:01	10.25	20.52	3.41	4.13	0.00	0.00	39.42	0.77	3333	300	299	0.00	GapSeed	8	1	1		Gap	37	84	494	678	10	107	2.26	0.15	0.17	0.03	47	41		
pa	3333	300	0.2	1	9	1.0	1.3004	0:00:01	10.22	20.50	3.44	4.15	0.00	0.00	40.03	0.77	3333	300	299	0.00	GapSeed	9	1	1		Gap	33	59	585	802	14	139	2.67	0.12	0.19	0.02	47	40		
pa	3333	300	0.2	1	10	1.0	1.3848	0:00:01	10.36	20.51	3.41	4.12	0.00	0.00	37.56	0.77	3333	300	299	0.00	GapSeed	10	1	1		Gap	30	45	719	975	18	176	3.25	0.11	0.22	0.02	47	39		
pa	3333	300	0.2	1	11	1.0	1.4323	0:00:01	10.15	20.52	3.39	4.09	0.00	0.00	35.52	0.78	3333	300	299	0.00	GapSeed	11	1	1		Gap	27	34	955	1273	24	242	4.25	0.10	0.26	0.02	47	38		
pa	1000	1000	0.01	0	6	0.4	0.5622	0:00:00	9.89	20.20	3.16	3.93	0.00	0.00	0.00	0.26	1000	1000	999	0.00	GapSeed	6	0	1		Gap	166	198	1004	1022	0	0	1.02	0.13	0.16	0.05	9	9		
pa	1000	1000	0.01	0	6	0.8	0.5942	0:00:00	9.88	20.21	3.17	3.88	0.00	0.00	0.00	0.24	1000	1000	999	0.00	GapSeed	6	0	1		Gap	166	198	1004	1022	0	0	1.02	0.13	0.19	0.07	9	9		
pa	1000	1000	0.01	0	6	1.0	0.5913	0:00:00	9.79	20.33	3.24	3.88	0.00	0.00	0.00	0.24	1000	1000	999	0.00	GapSeed	6	0	1		Gap	166	198	1004	1022	0	0	1.02	0.12	0.19	0.09	9	9		
