alg	cnt	n	e	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status
edlib	100	10000	0.05	0.7589	0:00:00	54.90	219.48	36.39	38.01	0.00	0.00	0.00	1.06	ok
biwfa	100	10000	0.05	0.2352	0:00:00	47.20	128.57	34.71	35.75	0.00	0.00	0.00	0.54	ok
pa	100	10000	0.1	0.4938	0:00:00	47.16	128.57	34.69	35.68	0.00	0.00	0.00	0.53	ok
edlib	100	10000	0.1	0.9182	0:00:00	54.87	219.48	36.38	37.72	0.00	0.00	0.00	1.03	ok
biwfa	100	10000	0.1	0.6123	0:00:00	56.45	234.75	38.78	40.21	0.00	0.00	0.00	1.07	ok
pa	100	10000	0.2	1.6073	0:00:01	58.99	293.88	41.13	42.39	0.00	0.00	34.02	1.60	ok
edlib	100	10000	0.2	1.1215	0:00:01	55.52	291.49	37.01	38.39	0.00	0.00	47.26	1.57	ok
biwfa	100	10000	0.2	1.5621	0:00:01	57.60	306.75	39.68	41.08	0.00	0.00	34.39	1.60	ok
pa	33	30000	0.01	0.1215	0:00:00	47.46	128.57	34.70	35.91	0.00	0.00	0.00	0.57	ok
edlib	33	30000	0.01	0.9182	0:00:00	55.27	219.65	36.55	38.04	0.00	0.00	0.00	1.04	ok
biwfa	33	30000	0.01	0.0701	0:00:00	47.18	128.58	34.70	35.94	0.00	0.00	0.00	0.56	ok
pa	33	30000	0.05	0.2167	0:00:00	47.36	128.57	34.69	35.68	0.00	0.00	0.00	0.55	ok
edlib	33	30000	0.05	1.1789	0:00:01	55.89	291.89	37.42	38.89	0.00	0.00	43.88	1.57	ok
biwfa	33	30000	0.05	0.4432	0:00:00	47.34	128.57	34.70	35.68	0.00	0.00	0.00	0.54	ok
pa	33	30000	0.1	0.5665	0:00:00	58.05	221.50	40.10	41.33	0.00	0.00	0.00	1.05	ok
edlib	33	30000	0.1	1.6128	0:00:01	56.15	291.88	37.39	38.76	0.00	0.00	34.84	1.64	ok
biwfa	33	30000	0.1	1.3971	0:00:01	58.20	306.92	39.97	41.40	0.00	0.00	37.95	1.58	ok
pa	33	30000	0.2	2.5083	0:00:02	65.68	300.26	47.86	49.09	0.00	0.00	63.93	2.68	ok
edlib	33	30000	0.2	2.5731	0:00:02	56.79	291.89	37.94	39.24	0.00	0.00	59.77	2.61	ok
biwfa	33	30000	0.2	4.2591	0:00:04	58.37	306.92	40.65	42.18	0.00	0.00	77.50	4.37	ok
pa	10	100000	0.01	0.1200	0:00:00	47.24	128.57	34.69	35.74	0.00	0.00	0.00	0.56	ok
edlib	10	100000	0.01	1.2892	0:00:01	56.35	292.30	37.75	39.01	0.00	0.00	38.78	1.53	ok
biwfa	10	100000	0.01	0.1183	0:00:00	46.95	128.58	34.70	35.64	0.00	0.00	0.00	0.55	ok
pa	10	100000	0.05	0.2382	0:00:00	47.25	128.57	34.72	35.69	0.00	0.00	0.00	0.54	ok
edlib	10	100000	0.05	2.7760	0:00:02	57.69	293.03	38.91	40.20	0.00	0.00	78.95	3.24	ok
biwfa	10	100000	0.05	1.2551	0:00:01	59.92	307.07	41.88	43.16	0.00	0.00	42.24	1.57	ok
pa	10	100000	0.1	1.0440	0:00:01	59.09	222.50	41.22	42.63	0.00	0.00	0.00	1.06	ok
edlib	10	100000	0.1	4.5242	0:00:04	56.82	292.35	38.30	39.78	0.00	0.00	83.62	4.83	ok
biwfa	10	100000	0.1	4.2353	0:00:04	61.01	307.07	43.12	44.57	0.00	0.00	76.09	4.27	ok
pa	10	100000	0.2	4.3619	0:00:04	92.36	326.84	74.55	75.85	0.00	0.00	82.09	4.63	ok
edlib	10	100000	0.2	5.0305	0:00:05	57.24	292.46	38.41	39.80	0.00	0.00	86.49	5.40	ok
biwfa	10	100000	0.2	13.6046	0:00:13	62.21	307.07	44.20	45.80	0.00	0.00	95.41	14.02	ok
pa	3	300000	0.01	0.1231	0:00:00	47.46	128.57	34.70	35.76	0.00	0.00	0.00	0.57	ok
edlib	3	300000	0.01	1.8173	0:00:01	58.62	294.43	40.22	41.60	0.00	0.00	58.11	2.09	ok
biwfa	3	300000	0.01	0.2267	0:00:00	47.19	128.58	34.70	35.78	0.00	0.00	0.00	0.55	ok
pa	3	300000	0.05	0.2387	0:00:00	47.33	128.57	34.70	35.69	0.00	0.00	0.00	0.56	ok
edlib	3	300000	0.05	4.4138	0:00:04	58.82	294.34	40.11	41.37	0.00	0.00	85.83	4.84	ok
biwfa	3	300000	0.05	3.2511	0:00:03	68.28	315.86	50.17	51.61	0.00	0.00	81.01	3.69	ok
pa	3	300000	0.1	1.3191	0:00:01	77.49	313.71	59.80	61.01	0.00	0.00	39.38	1.56	ok
edlib	3	300000	0.1	7.7794	0:00:07	58.69	294.41	40.11	41.41	0.00	0.00	89.69	8.01	ok
biwfa	3	300000	0.1	11.4028	0:00:11	69.00	315.86	50.97	52.29	0.00	0.00	92.54	11.60	ok
pa	3	300000	0.2	8.9730	0:00:08	147.99	387.79	130.18	131.56	0.00	0.00	89.01	9.02	ok
edlib	3	300000	0.2	14.2223	0:00:14	58.77	294.39	40.18	42.08	0.00	0.00	96.40	14.76	ok
biwfa	3	300000	0.2	37.0736	0:00:37	72.95	320.02	54.73	56.69	0.00	0.00	41.97	16.61	ok
pa	1	1000000	0.01	0.1318	0:00:00	47.49	128.57	34.73	35.72	0.00	0.00	0.00	0.53	ok
edlib	1	1000000	0.01	4.7185	0:00:04	64.25	301.16	45.79	47.11	0.00	0.00	81.11	4.86	ok
biwfa	1	1000000	0.01	0.7408	0:00:00	68.28	245.59	50.50	51.81	0.00	0.00	0.00	1.04	ok
pa	1	1000000	0.05	0.3031	0:00:00	47.20	128.57	34.71	35.86	0.00	0.00	0.00	0.57	ok
edlib	1	1000000	0.05	16.4900	0:00:16	64.70	301.16	45.83	47.10	0.00	0.00	90.05	15.87	ok
biwfa	1	1000000	0.05	12.5502	0:00:12	77.26	325.76	59.18	60.50	0.00	0.00	92.76	12.70	ok
pa	1	1000000	0.1	1.8172	0:00:01	190.53	364.50	172.79	174.07	0.00	0.00	60.76	2.14	ok
edlib	1	1000000	0.1	29.8920	0:00:29	64.32	300.80	45.58	46.93	0.00	0.00	52.34	16.70	ok
biwfa	1	1000000	0.1	42.7723	0:00:42	79.86	333.39	62.05	63.43	0.00	0.00	35.94	16.38	ok
pa	1	1000000	0.2	19.8891	0:00:19	361.93	642.77	344.03	345.29	0.00	0.00	79.83	16.95	ok
edlib	1	1000000	0.2	58.2245	0:00:58	63.90	300.43	45.08	46.48	0.00	0.00	77.72	46.29	ok
biwfa	1	1000000	0.2	100.0364	0:01:40	88.32	341.55	70.12	73.12	0.00	0.00	75.33	76.38	timeout 100s
