alg	model	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	m	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h0end
cp-csh	synthetic	100	10000	0.01	0	10	0.1313	0:00:00	3.10	7.38	0.46	0.65	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	10	0	1	0	Zero	1000	928	928	10175	10508	99	0	0	915	889	1.05	0.55	0.65	0.19	91	83	994
cp-sh	synthetic	100	10000	0.01	0	10	0.0821	0:00:00	1.49	7.25	0.24	0.38	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	10	0	1	0	Zero	991	911	911	10187	10530	99	0	290	905	0	1.05	0.29	0.38	0.00	91	80	986
cp-csh+gap	synthetic	100	10000	0.01	0	11	0.1380	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	11	0	1	0	Gap	909	828	828	10048	10245	99	0	0	824	685	1.02	0.59	0.59	0.20	91	88	905
cp-csh	synthetic	100	10000	0.01	0	11	0.1261	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	11	0	1	0	Zero	909	829	829	10182	10519	99	0	0	824	806	1.05	0.46	0.62	0.18	91	83	905
cp-sh	synthetic	100	10000	0.01	0	11	0.0810	0:00:00	1.48	4.20	0.23	0.36	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	11	0	1	0	Zero	907	826	826	10192	10537	99	0	293	822	0	1.05	0.28	0.37	0.00	91	81	903
cp-csh+gap	synthetic	100	10000	0.01	0	12	0.1277	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	12	0	1	0	Gap	833	752	752	10050	10249	99	0	0	748	612	1.02	0.54	0.55	0.17	91	88	830
cp-csh	synthetic	100	10000	0.01	0	12	0.1400	0:00:00	7.79	18.51	2.45	2.77	0.00	0.00	0.00	0.01	ok	100	10000	9999	0.00	GapSeed	12	0	1	0	Zero	833	752	752	10184	10523	99	0	0	748	734	1.05	0.63	0.61	0.16	91	82	830
cp-sh	synthetic	100	10000	0.01	0	12	0.0821	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	12	0	1	0	Zero	832	751	751	10195	10541	100	0	298	748	0	1.05	0.28	0.37	0.00	91	81	829
cp-csh+gap	synthetic	100	10000	0.01	0	13	0.1291	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	13	0	1	0	Gap	769	688	688	10053	10253	99	0	0	684	550	1.03	0.54	0.56	0.16	91	87	766
cp-csh	synthetic	100	10000	0.01	0	13	0.1257	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	13	0	1	0	Zero	769	688	688	10191	10533	99	0	0	684	672	1.05	0.48	0.58	0.15	91	82	766
cp-sh	synthetic	100	10000	0.01	0	13	0.0812	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	13	0	1	0	Zero	768	687	687	10200	10550	100	0	297	684	0	1.06	0.28	0.37	0.00	91	81	766
cp-csh+gap	synthetic	100	10000	0.01	0	14	0.1227	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	14	0	1	0	Gap	714	632	632	10054	10256	99	0	0	629	498	1.03	0.53	0.51	0.14	91	87	711
cp-csh	synthetic	100	10000	0.01	0	14	0.1275	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	14	0	1	0	Zero	714	632	632	10192	10535	99	0	0	629	617	1.05	0.47	0.61	0.13	91	82	711
cp-sh	synthetic	100	10000	0.01	0	14	0.0818	0:00:00	3.00	7.38	0.07	0.45	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	14	0	1	0	Zero	713	632	632	10201	10551	99	0	291	629	0	1.06	0.30	0.37	0.00	91	81	711
cp-csh+gap	synthetic	100	10000	0.01	0	15	0.1221	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	15	0	1	0	Gap	666	584	584	10057	10261	99	0	0	582	453	1.03	0.51	0.52	0.13	91	87	664
cp-csh	synthetic	100	10000	0.01	0	15	0.1251	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	15	0	1	0	Zero	666	584	584	10198	10543	99	0	0	582	571	1.05	0.41	0.56	0.13	91	82	664
cp-sh	synthetic	100	10000	0.01	0	15	0.0806	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	15	0	1	0	Zero	666	584	584	10207	10558	99	0	300	582	0	1.06	0.28	0.36	0.00	91	81	664
cp-csh+gap	synthetic	100	10000	0.01	0	16	0.1135	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	16	0	1	0	Gap	625	543	543	10062	10268	99	0	0	541	414	1.03	0.47	0.49	0.12	91	86	623
cp-csh	synthetic	100	10000	0.01	0	16	0.1168	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	16	0	1	0	Zero	625	543	543	10204	10550	99	0	0	541	531	1.06	0.41	0.56	0.12	91	82	623
cp-sh	synthetic	100	10000	0.01	0	16	0.0724	0:00:00	3.01	7.38	0.46	0.67	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	16	0	1	0	Zero	625	543	543	10213	10565	99	0	292	540	0	1.06	0.27	0.36	0.00	91	81	622
cp-csh+gap	synthetic	100	10000	0.01	0	17	0.1108	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	17	0	1	0	Gap	588	507	507	10062	10270	99	0	0	504	379	1.03	0.45	0.48	0.11	91	86	586
cp-csh	synthetic	100	10000	0.01	0	17	0.1180	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	17	0	1	0	Zero	588	507	507	10206	10554	99	0	0	504	495	1.06	0.41	0.57	0.11	91	82	586
cp-sh	synthetic	100	10000	0.01	0	17	0.0825	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	17	0	1	0	Zero	588	507	507	10214	10567	99	0	297	504	0	1.06	0.28	0.36	0.00	91	81	586
cp-csh+gap	synthetic	100	10000	0.01	0	31	0.0953	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	31	0	1	0	Gap	322	244	244	10147	10384	99	0	3	242	143	1.04	0.34	0.44	0.06	91	82	321
cp-csh	synthetic	100	10000	0.01	0	31	0.0927	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	31	0	1	0	Zero	322	244	244	10315	10687	100	0	0	243	238	1.07	0.28	0.46	0.06	91	78	321
cp-sh	synthetic	100	10000	0.01	0	31	0.0811	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	31	0	1	0	Zero	322	244	244	10330	10708	100	0	366	243	0	1.07	0.26	0.38	0.00	91	78	321
cp-csh+gap	synthetic	100	10000	0.05	0	7	0.2427	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	7	0	1	0	Gap	1428	1205	1195	10544	11694	97	0	39	1057	522	1.17	0.84	1.38	0.44	441	393	1402
cp-csh	synthetic	100	10000	0.05	0	7	0.8099	0:00:00	7.83	18.97	1.71	2.35	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1953	1953	11326	13097	100	0	161	1057	505	1.31	1.24	6.60	5.37	441	357	1370
cp-sh	synthetic	100	10000	0.05	0	7	0.3031	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	7	0	1	0	Zero	891	702	702	17143	19730	119	0	12631	574	0	1.97	0.37	2.49	0.00	441	189	763
cp-csh+gap	synthetic	100	10000	0.05	0	8	0.2080	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	8	0	1	0	Gap	1250	928	926	10714	11934	98	0	74	884	436	1.19	0.70	1.17	0.24	441	385	1231
cp-csh	synthetic	100	10000	0.05	0	8	0.3018	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	1094	1094	11507	13332	101	0	65	884	665	1.33	0.85	1.95	0.61	441	353	1219
cp-sh	synthetic	100	10000	0.05	0	8	0.1907	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	8	0	1	0	Zero	1118	820	820	12386	14404	105	0	5198	758	0	1.44	0.32	1.43	0.00	441	298	1056
cp-csh+gap	synthetic	100	10000	0.05	0	9	0.2077	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	9	0	1	0	Gap	1111	772	772	10940	12240	99	0	128	751	348	1.22	0.62	1.26	0.20	441	378	1094
cp-csh	synthetic	100	10000	0.05	0	9	0.2111	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	810	810	11751	13642	102	0	52	751	650	1.36	0.52	1.40	0.24	441	349	1090
cp-sh	synthetic	100	10000	0.05	0	9	0.1830	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	9	0	1	0	Zero	1082	752	752	12093	14078	104	0	4432	723	0	1.41	0.30	1.36	0.00	441	330	1053
cp-csh+gap	synthetic	100	10000	0.05	0	10	0.1931	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	10	0	1	0	Gap	1000	660	660	11250	12639	101	0	237	645	276	1.26	0.59	1.15	0.17	441	371	986
cp-csh	synthetic	100	10000	0.05	0	10	0.2035	0:00:00	3.01	7.38	0.46	0.68	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	10	0	1	0	Zero	1000	669	669	12061	14018	103	0	53	645	581	1.40	0.46	1.42	0.17	441	345	985
cp-sh	synthetic	100	10000	0.05	0	10	0.1807	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	10	0	1	0	Zero	993	656	656	12296	14322	105	0	4546	639	0	1.43	0.29	1.35	0.00	441	337	976
cp-csh+gap	synthetic	100	10000	0.05	0	11	0.1873	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	11	0	1	0	Gap	909	572	572	11660	13152	103	0	394	560	221	1.32	0.52	1.16	0.15	441	364	898
cp-csh	synthetic	100	10000	0.05	0	11	0.2119	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	11	0	1	0	Zero	909	574	574	12448	14480	105	0	60	560	510	1.45	0.41	1.39	0.15	441	340	897
cp-sh	synthetic	100	10000	0.05	0	11	0.2104	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	11	0	1	0	Zero	907	571	571	12674	14764	106	0	4968	559	0	1.48	0.35	1.57	0.00	441	336	895
cp-csh+gap	synthetic	100	10000	0.05	0	12	0.1861	0:00:00	3.11	7.38	0.46	0.69	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	12	0	1	0	Gap	833	503	503	12283	13902	105	0	707	492	177	1.39	0.48	1.28	0.14	441	355	823
cp-csh	synthetic	100	10000	0.05	0	12	0.2110	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	12	0	1	0	Zero	833	503	503	13064	15198	109	0	94	492	448	1.52	0.49	1.42	0.13	441	333	822
cp-sh	synthetic	100	10000	0.05	0	12	0.1928	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	12	0	1	0	Zero	832	503	503	13320	15512	110	0	5729	492	0	1.55	0.28	1.48	0.00	441	330	822
cp-csh+gap	synthetic	100	10000	0.05	0	13	0.2044	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	13	0	1	0	Gap	769	443	443	13034	14792	108	0	1183	434	144	1.48	0.46	1.40	0.14	441	349	760
cp-csh	synthetic	100	10000	0.05	0	13	0.2149	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	13	0	1	0	Zero	769	443	443	13834	16071	108	0	117	434	396	1.61	0.42	1.54	0.14	441	328	760
cp-sh	synthetic	100	10000	0.05	0	13	0.2233	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	13	0	1	0	Zero	768	443	443	14100	16393	110	0	6526	434	0	1.64	0.36	1.68	0.00	441	325	760
cp-csh+gap	synthetic	100	10000	0.05	0	14	0.2284	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	14	0	1	0	Gap	714	393	393	14093	16014	110	0	2040	385	117	1.60	0.45	1.64	0.13	441	342	706
cp-csh	synthetic	100	10000	0.05	0	14	0.2320	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	14	0	1	0	Zero	714	393	393	14872	17244	113	0	161	385	352	1.72	0.38	1.75	0.12	441	323	706
cp-sh	synthetic	100	10000	0.05	0	14	0.2344	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	14	0	1	0	Zero	713	393	393	15166	17591	116	0	7607	385	0	1.76	0.33	1.83	0.00	441	320	706
cp-csh+gap	synthetic	100	10000	0.05	0	15	0.2516	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	15	0	1	0	Gap	666	350	350	15652	17784	113	0	3312	343	95	1.78	0.44	1.89	0.12	441	336	659
cp-csh	synthetic	100	10000	0.05	0	15	0.2236	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	15	0	1	0	Zero	666	350	350	16325	18861	118	0	264	343	313	1.89	0.34	1.72	0.12	441	318	658
cp-sh	synthetic	100	10000	0.05	0	15	0.2539	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	15	0	1	0	Zero	665	350	350	16718	19314	119	0	9094	343	0	1.93	0.29	2.07	0.00	441	315	658
cp-csh+gap	synthetic	100	10000	0.05	0	16	0.2931	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	16	0	1	0	Gap	625	314	314	17759	20140	123	0	4999	308	78	2.01	0.40	2.36	0.12	441	329	619
cp-csh	synthetic	100	10000	0.05	0	16	0.2491	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	16	0	1	0	Zero	625	314	314	18316	21049	122	0	330	308	281	2.10	0.32	1.99	0.11	441	312	619
cp-sh	synthetic	100	10000	0.05	0	16	0.2880	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	16	0	1	0	Zero	625	314	314	18806	21596	129	0	10871	308	0	2.16	0.28	2.42	0.00	441	311	619
cp-csh+gap	synthetic	100	10000	0.05	0	17	0.3353	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	17	0	1	0	Gap	588	283	283	21108	23828	141	0	7354	277	64	2.38	0.38	2.80	0.12	441	322	582
cp-csh	synthetic	100	10000	0.05	0	17	0.2893	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	17	0	1	0	Zero	588	283	283	21552	24570	145	0	594	277	253	2.46	0.30	2.41	0.11	441	306	582
cp-sh	synthetic	100	10000	0.05	0	17	0.3499	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	Unordered	17	0	1	0	Zero	588	283	283	22075	25154	154	0	13674	277	0	2.52	0.30	3.02	0.00	441	305	582
cp-csh+gap	synthetic	100	10000	0.1	0	7	0.3751	0:00:00	1.50	7.25	0.23	0.35	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	7	0	1	0	Gap	1428	945	936	14419	17673	120	0	3676	789	203	1.77	0.87	2.70	0.42	847	672	1396
cp-csh	synthetic	100	10000	0.1	0	7	0.9805	0:00:00	8.36	19.16	1.91	2.52	0.00	0.00	0.00	0.47	ok	100	10000	9999	0.00	GapSeed	7	0	1	0	Zero	1428	1688	1688	16404	20643	127	0	6222	788	293	2.06	1.10	8.34	4.70	847	619	1368
cp-sh	synthetic	100	10000	0.1	0	7	10.0189	0:00:10	49.61	60.56	43.30	43.90	0.00	0.00	92.42	9.73	timeout 10s
cp-csh+gap	synthetic	100	10000	0.1	0	8	0.4606	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	8	0	1	0	Gap	1250	679	677	17936	21865	139	0	8483	631	152	2.19	0.60	3.64	0.26	847	647	1226
cp-csh	synthetic	100	10000	0.1	0	8	0.4585	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	10000	9999	0.00	GapSeed	8	0	1	0	Zero	1250	846	846	19848	24603	145	0	2739	631	404	2.46	0.59	3.78	0.62	847	602	1216
cp-sh	synthetic	100	10000	0.1	0	8	0.9233	0:00:00	8.96	19.81	2.54	3.16	0.00	0.00	0.00	0.50	ok	100	10000	9999	0.00	Unordered	8	0	1	0	Zero	1150	639	639	36083	42540	203	0	47787	542	0	4.25	0.36	8.67	0.00	847	511	1053
cp-csh+gap	synthetic	100	10000	0.1	0	9	0.6412	0:00:00	8.18	19.32	2.14	2.72	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	9	0	1	0	Gap	1111	538	537	25170	30130	182	0	17480	513	106	3.01	0.54	5.67	0.25	847	623	1092
cp-csh	synthetic	100	10000	0.1	0	9	0.5447	0:00:00	7.98	19.10	1.77	2.38	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	9	0	1	0	Zero	1111	576	576	26920	32519	191	0	3396	513	393	3.25	0.45	4.78	0.27	847	584	1088
cp-sh	synthetic	100	10000	0.1	0	9	0.8685	0:00:00	8.96	19.87	2.55	3.20	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	Unordered	9	0	1	0	Zero	1090	535	535	33452	39702	236	0	41698	494	0	3.97	0.33	8.14	0.00	847	555	1050
cp-csh+gap	synthetic	100	10000	0.1	0	10	1.1799	0:00:01	10.45	21.22	3.91	4.56	0.00	0.00	41.55	0.94	ok	100	10000	9999	0.00	GapSeed	10	0	1	0	Gap	1000	438	438	42583	49298	267	0	37766	422	72	4.93	0.51	10.92	0.35	847	600	986
cp-csh	synthetic	100	10000	0.1	0	10	0.8424	0:00:00	9.24	19.88	2.72	3.34	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	10	0	1	0	Zero	1000	446	446	44109	51255	273	0	7588	422	341	5.13	0.38	7.82	0.32	847	567	984
cp-sh	synthetic	100	10000	0.1	0	10	1.2531	0:00:01	10.37	21.15	3.89	4.51	0.00	0.00	41.53	1.00	ok	100	10000	9999	0.00	Unordered	10	0	1	0	Zero	995	438	438	47914	55372	294	0	61906	418	0	5.54	0.33	11.88	0.00	847	557	976
cp-csh+gap	synthetic	100	10000	0.1	0	11	2.9961	0:00:02	12.76	23.90	6.66	7.25	0.00	0.00	68.76	2.54	ok	100	10000	9999	0.00	GapSeed	11	0	1	0	Gap	909	364	363	101816	112514	472	0	104426	354	49	11.25	0.46	29.26	0.59	847	578	900
cp-csh	synthetic	100	10000	0.1	0	11	2.2396	0:00:02	13.30	24.04	6.77	7.39	0.00	0.00	69.22	2.02	ok	100	10000	9999	0.00	GapSeed	11	0	1	0	Zero	909	365	365	103075	113981	482	0	28336	354	289	11.40	0.35	21.71	0.54	847	549	899
cp-sh	synthetic	100	10000	0.1	0	11	3.2045	0:00:03	12.97	23.76	6.54	7.19	0.00	0.00	78.02	2.98	ok	100	10000	9999	0.00	Unordered	11	0	1	0	Zero	908	363	363	108348	119497	477	0	141452	353	0	11.95	0.31	31.47	0.00	847	544	897
cp-csh+gap	synthetic	100	10000	0.1	0	12	10.0188	0:00:10	50.30	61.02	43.74	44.39	0.00	0.00	92.51	9.76	timeout 10s	100	10000	10001	0.00	GapSeed	12	0	1	0	Gap	833	303	302	438791	460087	2242	0	363539	299	32	46.00	1.94	603.51	8.04	848	556	830
cp-csh	synthetic	100	10000	0.1	0	12	10.0189	0:00:10	50.52	61.22	43.93	44.55	0.00	0.00	92.22	9.73	timeout 10s	100	10000	10001	0.00	GapSeed	12	0	1	0	Gap	833	303	303	440140	461456	2247	0	129896	299	243	46.14	1.60	500.99	6.39	848	532	829
cp-sh	synthetic	100	10000	0.1	0	12	10.0163	0:00:10	49.79	60.65	43.34	43.98	0.00	0.00	91.44	9.65	timeout 10s	100	10000	10001	0.00	Unordered	12	0	1	0	Zero	832	303	303	443614	464922	2247	0	432904	299	0	46.48	0.93	562.95	0.00	848	530	829
cp-csh+gap	synthetic	100	10000	0.1	1	11	0.6484	0:00:00	10.07	20.75	3.47	4.12	0.00	0.00	0.00	0.50	ok	100	10000	9999	0.00	GapSeed	11	1	1	0	Gap	909	2485	2342	12303	15039	102	19	758	1394	104	1.50	3.71	2.57	0.97	847	782	1734
cp-csh	synthetic	100	10000	0.1	1	11	0.7562	0:00:00	9.88	20.76	3.57	4.16	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	GapSeed	11	1	1	0	Zero	909	2485	2485	14821	18809	111	46	593	1394	240	1.88	3.66	3.68	1.48	847	744	1726
cp-sh	synthetic	100	10000	0.1	1	11	0.8165	0:00:00	8.99	19.77	2.64	3.25	0.00	0.00	0.00	0.49	ok	100	10000	9999	0.00	Unordered	11	1	1	0	Zero	804	644	644	23086	28410	161	67	29634	606	0	2.84	2.53	5.46	0.00	847	321	1534
cp-csh+gap	synthetic	100	10000	0.1	1	12	0.6242	0:00:00	9.64	20.64	3.44	4.06	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	GapSeed	12	1	1	0	Gap	833	2010	1973	13001	15945	108	22	1298	1194	81	1.59	3.32	2.59	0.87	847	771	1593
cp-csh	synthetic	100	10000	0.1	1	12	0.6574	0:00:00	9.88	20.66	3.44	4.06	0.00	0.00	0.00	0.50	ok	100	10000	9999	0.00	GapSeed	12	1	1	0	Zero	833	2010	2010	15595	19739	117	51	669	1193	228	1.97	3.26	3.12	0.88	847	738	1588
cp-sh	synthetic	100	10000	0.1	1	12	0.7750	0:00:00	8.72	19.51	2.27	2.89	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	Unordered	12	1	1	0	Zero	806	616	616	20868	25990	144	65	25578	594	0	2.60	2.55	5.02	0.00	847	380	1570
cp-csh+gap	synthetic	100	10000	0.1	1	13	0.6106	0:00:00	9.84	20.76	3.48	4.09	0.00	0.00	0.00	0.48	ok	100	10000	9999	0.00	GapSeed	13	1	1	0	Gap	769	1693	1683	13921	17099	112	27	2397	1032	61	1.71	3.29	2.62	0.65	847	760	1476
