alg	cnt	n	e	m	k	pf	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	nr	|a|	|b|	r	H	k	md	pr	bf	ed	seeds	matches	f-match	expanded	explored	dbl	ret	prunes	shift	band	precom	align	prune	dist	h0	DM fr
pa	1000000	100	0.05	0	12	1.0	17.0075	0:00:17	266.42	279.59	260.33	261.32	0.00	0.00	90.25	15.83	1000000	100	100	0.00	GapSeed	12	0	1		Gap	8	4	4	106	117	0	0	4	1	1.18	0.00	0.01	0.00	4	4	0.089
pa	1000000	100	0.05	0	14	1.0	15.8461	0:00:15	266.39	279.59	260.35	261.32	0.00	0.00	93.28	15.26	1000000	100	100	0.00	GapSeed	14	0	1		Gap	7	3	3	107	118	0	0	3	1	1.19	0.00	0.01	0.00	4	4	0.089
pa	1000000	100	0.05	0	17	1.0	15.7250	0:00:15	266.06	279.59	260.35	261.37	0.00	0.00	94.62	15.36	1000000	100	100	0.00	GapSeed	17	0	1		Gap	5	2	1	109	123	0	0	1	0	1.24	0.00	0.01	0.00	4	3	0.086
pa	1000000	100	0.05	0	20	1.0	15.9971	0:00:15	266.62	279.59	260.32	261.54	0.00	0.00	91.20	15.08	1000000	100	100	0.00	GapSeed	20	0	1		Gap	5	1	1	109	123	0	0	1	0	1.24	0.00	0.01	0.00	4	3	0.086
pa	1000000	100	0.1	0	6	1.0	26.7119	0:00:26	266.98	280.23	261.09	262.93	0.00	0.00	57.25	15.77	1000000	100	99	0.00	GapSeed	6	0	1		Gap	16	10	9	113	136	0	0	9	3	1.37	0.01	0.02	0.00	9	7	0.081
pa	1000000	100	0.1	0	8	1.0	25.0224	0:00:25	267.20	280.23	261.02	262.29	0.00	0.00	61.14	15.79	1000000	100	99	0.00	GapSeed	8	0	1		Gap	12	6	5	121	149	0	2	5	1	1.50	0.00	0.02	0.00	9	7	0.081
pa	1000000	100	0.1	0	10	1.0	26.4194	0:00:26	267.36	280.21	261.09	262.37	0.00	0.00	58.25	15.87	1000000	100	99	0.00	GapSeed	10	0	1		Gap	10	4	4	130	163	0	2	3	0	1.64	0.00	0.02	0.00	9	6	0.081
pa	1000000	100	0.1	1	7	1.0	72.7233	0:01:12	267.22	280.21	261.11	262.56	0.00	0.00	62.12	45.66	1000000	100	99	0.00	GapSeed	7	1	1		Gap	14	51	46	107	127	0	0	12	0	1.27	0.04	0.03	0.01	9	8	0.082
pa	1000000	100	0.1	1	8	1.0	64.9413	0:01:04	267.24	280.22	260.98	262.48	0.00	0.00	69.83	45.82	1000000	100	99	0.00	GapSeed	8	1	1		Gap	12	38	35	109	130	0	0	10	0	1.30	0.04	0.03	0.01	9	8	0.082
pa	1000000	100	0.1	1	9	1.0	59.4973	0:00:59	267.14	280.23	260.98	262.24	0.00	0.00	76.07	45.76	1000000	100	99	0.00	GapSeed	9	1	1		Gap	11	31	30	110	131	0	0	9	0	1.32	0.03	0.02	0.01	9	8	0.082
pa	1000000	100	0.1	1	10	1.0	52.5844	0:00:52	266.91	280.22	261.18	262.98	0.00	0.00	86.47	45.95	1000000	100	99	0.00	GapSeed	10	1	1		Gap	10	26	25	111	134	0	0	7	0	1.34	0.03	0.02	0.01	9	8	0.082
pa	1000000	100	0.1	1	11	1.0	49.3148	0:00:49	267.12	280.23	261.26	263.03	0.00	0.00	91.37	45.54	1000000	100	99	0.00	GapSeed	11	1	1		Gap	9	22	20	113	137	0	0	6	0	1.37	0.03	0.02	0.00	9	8	0.082
pa	1000000	100	0.1	1	12	1.0	45.5401	0:00:45	267.16	280.22	260.98	262.84	0.00	0.00	34.06	16.00	1000000	100	99	0.00	GapSeed	12	1	1		Gap	8	18	16	116	141	0	0	5	0	1.41	0.02	0.02	0.00	9	8	0.082
pa	1000000	100	0.1	1	13	1.0	43.5252	0:00:43	267.12	280.23	260.98	262.28	0.00	0.00	35.08	15.75	1000000	100	99	0.00	GapSeed	13	1	1		Gap	7	14	13	120	148	1	1	4	0	1.48	0.02	0.02	0.00	9	7	0.082
pa	1000000	100	0.1	1	14	1.0	44.4872	0:00:44	267.00	280.23	260.98	262.23	0.00	0.00	34.50	15.83	1000000	100	99	0.00	GapSeed	14	1	1		Gap	7	13	12	119	147	1	0	4	0	1.47	0.02	0.02	0.00	9	8	0.082
pa	1000000	100	0.2	1	7	1.0	72.4560	0:01:12	268.24	281.34	262.12	262.84	0.00	0.00	62.28	45.61	1000000	100	100	0.00	GapSeed	7	1	1		Gap	14	36	32	136	185	2	6	9	0	1.86	0.03	0.04	0.01	16	14	0.082
pa	1000000	100	0.2	1	8	1.0	67.2766	0:01:07	268.18	281.41	262.11	262.72	0.00	0.00	67.11	45.65	1000000	100	100	0.00	GapSeed	8	1	1		Gap	12	24	22	152	209	2	10	7	0	2.09	0.03	0.04	0.01	16	14	0.087
pa	1000000	100	0.2	1	9	1.0	64.8180	0:01:04	268.06	281.36	262.12	262.73	0.00	0.00	69.97	45.85	1000000	100	100	0.00	GapSeed	9	1	1		Gap	11	18	17	165	227	3	8	6	0	2.27	0.03	0.04	0.00	16	14	0.089
pa	1000000	100	0.2	1	10	1.0	64.9910	0:01:04	268.22	281.36	262.11	262.73	0.00	0.00	69.27	45.51	1000000	100	100	0.00	GapSeed	10	1	1		Gap	10	14	13	184	253	4	9	5	0	2.54	0.02	0.04	0.00	16	13	0.094
pa	1000000	100	0.2	1	11	1.0	66.9099	0:01:06	268.34	281.32	262.14	263.04	0.00	0.00	67.40	45.57	1000000	100	100	0.00	GapSeed	11	1	1		Gap	9	10	10	211	289	5	10	4	0	2.90	0.02	0.04	0.00	16	13	0.099
pa	333333	300	0.01	0	6	1.0	21.5148	0:00:21	225.55	245.38	222.18	223.12	0.00	0.00	71.44	15.86	333333	300	299	0.00	GapSeed	6	0	1		Gap	50	51	48	302	306	0	0	47	42	1.02	0.03	0.04	0.01	3	3	0.215
pa	333333	300	0.01	0	8	1.0	17.3658	0:00:17	225.66	245.39	219.64	220.89	0.00	0.00	88.43	15.84	333333	300	299	0.00	GapSeed	8	0	1		Gap	37	34	34	302	306	0	0	34	30	1.02	0.02	0.03	0.01	3	3	0.214
pa	333333	300	0.01	0	10	1.0	15.0801	0:00:15	225.86	245.39	219.66	220.93	0.00	0.00	94.08	14.66	333333	300	299	0.00	GapSeed	10	0	1		Gap	30	27	27	302	306	0	0	27	23	1.02	0.02	0.03	0.01	3	3	0.214
pa	333333	300	0.01	0	12	1.0	13.4310	0:00:13	225.61	245.39	219.61	220.82	0.00	0.00	93.66	13.06	333333	300	299	0.00	GapSeed	12	0	1		Gap	25	22	22	302	307	0	0	22	18	1.02	0.01	0.02	0.01	3	3	0.214
pa	333333	300	0.01	0	14	1.0	12.6822	0:00:12	225.93	245.40	219.61	221.29	0.00	0.00	90.75	11.99	333333	300	299	0.00	GapSeed	14	0	1		Gap	21	18	18	302	307	0	0	18	14	1.02	0.01	0.02	0.00	3	3	0.214
pa	333333	300	0.01	0	17	1.0	11.3628	0:00:11	225.84	245.40	219.64	221.30	0.00	0.00	93.73	11.15	333333	300	299	0.00	GapSeed	17	0	1		Gap	17	14	14	302	307	0	0	14	10	1.02	0.01	0.02	0.00	3	3	0.213
pa	333333	300	0.01	0	20	1.0	10.7552	0:00:10	225.70	245.39	222.14	223.10	49.29	0.00	88.79	10.04	333333	300	299	0.00	GapSeed	20	0	1		Gap	15	12	12	302	307	0	0	12	8	1.03	0.01	0.02	0.00	3	3	0.213
pa	333333	300	0.01	0	25	1.0	9.6426	0:00:09	225.74	245.40	219.56	220.84	0.00	0.00	93.03	9.45	333333	300	299	0.00	GapSeed	25	0	1		Gap	12	9	9	302	307	0	0	9	6	1.03	0.01	0.02	0.00	3	3	0.212
pa	333333	300	0.01	0	31	1.0	8.2100	0:00:08	225.58	245.40	219.61	220.67	0.00	0.00	90.37	7.90	333333	300	299	0.00	GapSeed	31	0	1		Gap	9	6	6	302	308	0	0	6	3	1.03	0.01	0.02	0.00	3	2	0.211
pa	333333	300	0.05	0	6	1.0	22.3948	0:00:22	225.09	244.73	218.98	220.17	0.00	0.00	68.80	15.90	333333	300	300	0.00	GapSeed	6	0	1		Gap	50	43	40	311	341	0	0	38	22	1.14	0.02	0.04	0.01	13	12	0.131
pa	333333	300	0.05	0	8	1.0	18.3115	0:00:18	225.23	244.74	219.03	220.21	0.00	0.00	83.34	15.74	333333	300	300	0.00	GapSeed	8	0	1		Gap	37	26	26	314	348	0	0	25	13	1.16	0.02	0.04	0.01	13	12	0.130
pa	333333	300	0.05	0	10	1.0	16.9481	0:00:16	225.38	244.76	219.52	220.60	0.00	0.00	89.50	15.66	333333	300	300	0.00	GapSeed	10	0	1		Gap	30	19	19	319	356	0	1	19	8	1.19	0.01	0.04	0.00	13	11	0.129
pa	333333	300	0.05	0	12	1.0	15.6045	0:00:15	225.36	244.81	219.08	220.28	0.00	0.00	95.16	15.33	333333	300	300	0.00	GapSeed	12	0	1		Gap	25	14	14	325	366	1	2	14	5	1.22	0.01	0.03	0.00	13	11	0.128
pa	333333	300	0.05	0	14	1.0	15.5958	0:00:15	225.33	244.82	219.63	221.10	0.00	0.00	94.88	15.29	333333	300	300	0.00	GapSeed	14	0	1		Gap	21	11	11	334	380	1	5	10	3	1.27	0.01	0.04	0.00	13	10	0.126
pa	333333	300	0.05	0	17	1.0	15.9486	0:00:15	225.39	244.81	219.56	220.63	0.00	0.00	92.92	15.29	333333	300	300	0.00	GapSeed	17	0	1		Gap	17	8	7	353	408	1	9	7	1	1.36	0.01	0.04	0.00	13	10	0.125
pa	333333	300	0.05	0	20	1.0	16.3500	0:00:16	225.32	244.79	219.09	220.43	0.00	0.00	93.04	15.70	333333	300	300	0.00	GapSeed	20	0	1		Gap	15	6	6	373	437	1	11	5	1	1.46	0.01	0.04	0.00	13	9	0.126
pa	333333	300	0.1	0	6	1.0	27.3582	0:00:27	224.93	244.39	218.63	219.36	0.00	0.00	55.60	15.70	333333	300	299	0.00	GapSeed	6	0	1		Gap	50	34	31	349	426	1	9	29	10	1.42	0.02	0.06	0.01	26	21	0.116
pa	333333	300	0.1	0	8	1.0	29.0457	0:00:29	224.74	244.37	218.61	219.34	0.00	0.00	52.57	15.75	333333	300	299	0.00	GapSeed	8	0	1		Gap	37	19	19	400	501	2	34	18	4	1.67	0.01	0.07	0.01	26	19	0.121
pa	333333	300	0.1	0	10	1.0	34.9320	0:00:34	225.00	244.39	218.66	219.36	0.00	0.00	43.66	15.72	333333	300	299	0.00	GapSeed	10	0	1		Gap	30	12	12	496	633	4	65	12	2	2.11	0.01	0.09	0.00	26	18	0.135
pa	333333	300	0.1	1	7	1.0	83.7574	0:01:23	224.89	244.50	218.70	219.44	0.00	0.00	89.30	75.28	333333	300	299	0.00	GapSeed	7	1	1		Gap	42	181	150	324	387	1	6	36	0	1.29	0.15	0.10	0.05	26	25	0.114
pa	333333	300	0.1	1	8	1.0	72.1587	0:01:12	224.81	244.47	218.72	219.47	0.00	0.00	62.86	45.86	333333	300	299	0.00	GapSeed	8	1	1		Gap	37	126	117	329	395	1	7	31	0	1.32	0.13	0.08	0.03	26	24	0.114
pa	333333	300	0.1	1	9	1.0	63.9298	0:01:03	224.96	244.46	218.70	219.48	0.00	0.00	70.57	45.60	333333	300	299	0.00	GapSeed	9	1	1		Gap	33	99	95	334	404	2	9	27	0	1.35	0.11	0.07	0.03	26	24	0.115
pa	333333	300	0.1	1	10	1.0	60.0258	0:01:00	224.62	244.46	218.71	219.42	0.00	0.00	74.93	45.48	333333	300	299	0.00	GapSeed	10	1	1		Gap	30	81	80	341	414	2	10	23	0	1.38	0.11	0.07	0.02	26	24	0.116
pa	333333	300	0.1	1	11	1.0	56.5110	0:00:56	225.01	244.48	218.71	219.43	0.00	0.00	79.73	45.54	333333	300	299	0.00	GapSeed	11	1	1		Gap	27	68	66	349	428	3	15	20	0	1.43	0.10	0.07	0.02	26	24	0.116
pa	333333	300	0.1	1	12	1.0	52.8823	0:00:52	224.91	244.45	218.68	219.44	0.00	0.00	84.73	45.31	333333	300	299	0.00	GapSeed	12	1	1		Gap	25	57	57	358	441	3	16	18	0	1.47	0.09	0.07	0.02	26	23	0.118
pa	333333	300	0.1	1	13	1.0	52.4995	0:00:52	224.82	244.48	218.71	219.44	0.00	0.00	85.73	45.51	333333	300	299	0.00	GapSeed	13	1	1		Gap	23	49	48	370	459	4	21	16	0	1.53	0.09	0.07	0.01	26	23	0.119
pa	333333	300	0.1	1	14	1.0	51.1980	0:00:51	224.74	244.48	218.72	219.44	0.00	0.00	87.72	45.39	333333	300	299	0.00	GapSeed	14	1	1		Gap	21	41	40	387	483	4	29	13	0	1.61	0.08	0.07	0.01	26	22	0.120
pa	333333	300	0.2	1	7	1.0	82.2750	0:01:22	224.86	244.25	218.54	219.84	0.00	0.00	91.36	75.62	333333	300	300	0.00	GapSeed	7	1	1		Gap	42	136	106	433	594	7	86	30	0	1.98	0.12	0.12	0.03	47	42	0.118
pa	333333	300	0.2	1	8	1.0	79.6959	0:01:19	224.73	244.29	218.53	219.63	0.00	0.00	94.21	75.55	333333	300	300	0.00	GapSeed	8	1	1		Gap	37	84	75	492	676	10	108	24	0	2.26	0.10	0.13	0.02	47	41	0.127
pa	333333	300	0.2	1	9	1.0	79.0529	0:01:19	224.76	244.22	218.53	219.62	0.00	0.00	95.05	75.65	333333	300	300	0.00	GapSeed	9	1	1		Gap	33	59	56	584	800	13	141	20	0	2.67	0.09	0.14	0.02	47	40	0.140
pa	333333	300	0.2	1	10	1.0	40.8087	0:00:40	224.54	244.21	218.48	219.47	0.00	0.00	37.18	15.65	
pa	333333	300	0.2	1	11	1.0	97.0297	0:01:37	224.84	244.29	218.59	219.88	0.00	0.00	76.76	74.97	333333	300	300	0.00	GapSeed	11	1	1		Gap	27	34	33	960	1280	24	245	14	0	4.27	0.08	0.21	0.01	47	38	0.188
pa	100000	1000	0.01	0	6	1.0	21.3346	0:00:21	204.68	217.04	198.60	200.01	0.00	0.00	72.28	15.91	100000	1000	1000	0.00	GapSeed	6	0	1		Gap	166	198	164	1004	1022	0	0	157	136	1.02	0.09	0.12	0.04	9	9	0.273
pa	100000	1000	0.01	0	8	1.0	16.6166	0:00:16	204.79	217.02	198.70	199.86	0.00	0.00	90.44	15.52	100000	1000	1000	0.00	GapSeed	8	0	1		Gap	125	118	117	1005	1023	0	0	116	101	1.02	0.06	0.10	0.03	9	9	0.273
pa	100000	1000	0.01	0	10	1.0	14.6366	0:00:14	204.66	216.92	198.55	199.71	0.00	0.00	93.19	14.11	100000	1000	1000	0.00	GapSeed	10	0	1		Gap	100	92	91	1005	1023	0	0	91	77	1.02	0.05	0.09	0.02	9	9	0.273
pa	100000	1000	0.01	0	12	1.0	12.4783	0:00:12	204.51	216.93	198.55	199.79	0.00	0.00	89.78	11.70	100000	1000	1000	0.00	GapSeed	12	0	1		Gap	83	74	74	1005	1024	0	0	74	61	1.02	0.04	0.08	0.02	9	9	0.272
pa	100000	1000	0.01	0	14	1.0	11.9959	0:00:11	204.79	216.92	198.48	199.49	0.00	0.00	89.26	11.19	100000	1000	1000	0.00	GapSeed	14	0	1		Gap	71	62	62	1005	1025	0	0	62	49	1.03	0.04	0.07	0.01	9	9	0.271
pa	100000	1000	0.01	0	17	1.0	10.2665	0:00:10	204.62	216.92	198.66	199.97	0.00	0.00	92.93	10.03	100000	1000	1000	0.00	GapSeed	17	0	1		Gap	58	49	49	1006	1025	0	0	49	37	1.03	0.03	0.07	0.01	9	9	0.271
pa	100000	1000	0.01	0	20	1.0	10.0360	0:00:10	204.75	216.95	198.60	199.67	0.00	0.00	88.58	9.38	100000	1000	1000	0.00	GapSeed	20	0	1		Gap	50	41	41	1006	1026	0	0	41	29	1.03	0.03	0.06	0.01	9	9	0.270
pa	100000	1000	0.01	0	25	1.0	9.1132	0:00:09	204.80	216.89	198.48	199.39	0.00	0.00	91.64	8.81	100000	1000	1000	0.00	GapSeed	25	0	1		Gap	40	31	31	1007	1028	0	0	31	21	1.03	0.03	0.06	0.01	9	8	0.268
pa	100000	1000	0.01	0	31	1.0	8.4081	0:00:08	204.73	216.91	198.47	199.46	0.00	0.00	88.13	7.88	100000	1000	1000	0.00	GapSeed	31	0	1		Gap	32	24	24	1009	1030	0	0	24	14	1.03	0.02	0.06	0.01	9	8	0.265
pa	100000	1000	0.05	0	6	1.0	22.3479	0:00:22	204.82	217.09	199.06	200.48	74.62	0.00	67.57	15.57	100000	1000	999	0.00	GapSeed	6	0	1		Gap	166	171	137	1037	1143	1	1	128	73	1.14	0.08	0.14	0.03	44	40	0.168
pa	100000	1000	0.05	0	8	1.0	18.0157	0:00:18	204.59	217.05	198.70	200.51	0.48	0.00	83.59	15.55	100000	1000	999	0.00	GapSeed	8	0	1		Gap	125	92	90	1052	1169	2	4	88	44	1.17	0.05	0.12	0.02	44	39	0.167
pa	100000	1000	0.05	0	10	1.0	16.5574	0:00:16	204.71	217.04	198.70	200.51	0.00	0.00	89.99	15.38	100000	1000	999	0.00	GapSeed	10	0	1		Gap	100	65	65	1075	1206	2	11	64	27	1.21	0.04	0.12	0.02	44	37	0.164
pa	100000	1000	0.05	0	12	1.0	16.5568	0:00:16	204.69	217.05	198.70	200.07	0.00	0.00	89.58	15.31	100000	1000	999	0.00	GapSeed	12	0	1		Gap	83	49	49	1108	1257	3	30	48	17	1.26	0.04	0.12	0.01	44	36	0.162
pa	100000	1000	0.05	0	14	1.0	16.8520	0:00:16	204.88	217.10	198.70	200.06	0.00	0.00	90.21	15.68	100000	1000	999	0.00	GapSeed	14	0	1		Gap	71	38	38	1159	1331	4	66	37	11	1.33	0.03	0.13	0.01	44	34	0.159
pa	100000	1000	0.05	0	17	1.0	19.8100	0:00:19	204.93	217.20	198.76	200.49	0.00	0.00	74.85	15.32	100000	1000	999	0.00	GapSeed	17	0	1		Gap	58	27	27	1297	1524	5	157	26	6	1.52	0.03	0.17	0.01	44	32	0.158
pa	100000	1000	0.05	0	20	1.0	24.9008	0:00:24	204.93	217.31	201.36	202.13	0.00	0.00	60.28	15.49	100000	1000	999	0.00	GapSeed	20	0	1		Gap	50	20	20	1560	1871	7	277	20	3	1.87	0.02	0.22	0.01	44	31	0.162
pa	100000	1000	0.1	0	6	1.0	28.0025	0:00:28	204.93	217.24	198.69	199.48	0.00	0.00	53.35	15.43	100000	1000	999	0.00	GapSeed	6	0	1		Gap	166	144	110	1186	1455	6	66	99	33	1.46	0.07	0.20	0.03	85	70	0.149
pa	100000	1000	0.1	0	8	1.0	30.8636	0:00:30	204.82	217.23	198.68	199.49	0.00	0.00	47.85	15.26	100000	1000	999	0.00	GapSeed	8	0	1		Gap	125	67	65	1427	1796	10	296	62	15	1.80	0.04	0.25	0.02	85	65	0.158
pa	100000	1000	0.1	0	10	1.0	48.3954	0:00:48	205.13	217.31	198.91	199.86	0.00	0.00	92.24	45.13	100000	1000	999	0.00	GapSeed	10	0	1		Gap	100	43	43	2163	2750	18	851	41	7	2.75	0.04	0.44	0.02	85	60	0.190
pa	100000	1000	0.1	1	7	1.0	96.7312	0:01:36	204.97	217.43	198.94	199.81	0.00	0.00	77.42	75.40	100000	1000	999	0.00	GapSeed	7	1	1		Gap	142	919	593	1081	1293	4	78	124	0	1.29	0.56	0.39	0.24	85	82	0.146
pa	100000	1000	0.1	1	8	1.0	73.1132	0:01:13	205.08	217.39	200.10	200.73	0.00	0.00	61.87	45.71	100000	1000	999	0.00	GapSeed	8	1	1		Gap	125	504	420	1098	1322	6	90	106	0	1.32	0.44	0.28	0.13	85	81	0.147
pa	100000	1000	0.1	1	9	1.0	65.7597	0:01:05	205.27	217.33	198.86	200.03	0.00	0.00	68.78	45.71	100000	1000	999	0.00	GapSeed	9	1	1		Gap	111	354	331	1120	1358	7	114	91	0	1.36	0.39	0.26	0.10	85	80	0.148
pa	100000	1000	0.1	1	10	1.0	60.9095	0:01:00	204.78	217.35	198.88	199.78	0.00	0.00	73.87	45.42	100000	1000	999	0.00	GapSeed	10	1	1		Gap	100	279	273	1147	1401	9	136	79	0	1.40	0.35	0.25	0.08	85	79	0.149
pa	100000	1000	0.1	1	11	1.0	55.1845	0:00:55	205.21	217.38	198.91	199.77	0.00	0.00	82.04	45.76	100000	1000	999	0.00	GapSeed	11	1	1		Gap	90	230	226	1185	1458	11	178	68	0	1.46	0.31	0.23	0.06	85	78	0.150
pa	100000	1000	0.1	1	12	1.0	55.7491	0:00:55	205.00	217.33	198.83	199.69	0.00	0.00	80.72	45.39	100000	1000	999	0.00	GapSeed	12	1	1		Gap	83	195	193	1223	1514	12	196	60	0	1.51	0.31	0.24	0.06	85	77	0.152
pa	100000	1000	0.1	1	13	1.0	52.4892	0:00:52	205.02	217.43	198.90	199.70	0.00	0.00	85.85	45.56	100000	1000	999	0.00	GapSeed	13	1	1		Gap	76	165	164	1281	1600	15	245	53	0	1.60	0.27	0.24	0.05	85	76	0.154
pa	100000	1000	0.1	1	14	1.0	52.6499	0:00:52	204.94	217.45	198.89	199.76	0.00	0.00	85.90	45.73	100000	1000	999	0.00	GapSeed	14	1	1		Gap	71	143	142	1341	1684	17	278	47	0	1.68	0.27	0.25	0.04	85	75	0.156
pa	100000	1000	0.2	1	7	1.0	100.5177	0:01:40	205.05	217.44	198.99	200.45	0.00	0.00	74.55	75.41	100000	1000	999	0.00	GapSeed	7	1	1		Gap	142	768	442	1463	2005	27	525	102	0	2.01	0.48	0.51	0.19	157	142	0.153
pa	100000	1000	0.2	1	8	1.0	80.8871	0:01:20	204.94	217.45	199.01	200.23	0.00	0.00	92.83	75.56	100000	1000	999	0.00	GapSeed	8	1	1		Gap	125	362	277	1701	2333	37	724	83	0	2.33	0.35	0.45	0.09	157	138	0.166
pa	100000	1000	0.2	1	9	1.0	87.8309	0:01:27	205.20	217.54	199.12	200.21	0.00	0.00	85.68	75.74	100000	1000	999	0.00	GapSeed	9	1	1		Gap	111	221	198	2116	2881	52	1092	69	0	2.88	0.31	0.56	0.07	157	134	0.186
pa	100000	1000	0.2	1	10	1.0	97.5026	0:01:37	205.31	217.54	199.11	200.42	0.00	0.00	77.11	75.67	100000	1000	999	0.00	GapSeed	10	1	1		Gap	100	156	150	2881	3848	76	1716	59	0	3.85	0.27	0.70	0.06	157	130	0.220
pa	100000	1000	0.2	1	11	1.0	131.2192	0:02:11	205.18	217.63	199.30	201.05	0.00	0.00	80.15	105.64	100000	1000	999	0.00	GapSeed	11	1	1		Gap	90	117	115	4610	5945	123	2993	51	0	5.95	0.24	1.07	0.05	157	125	0.284
pa	33333	3000	0.01	0	6	1.0	24.3728	0:00:24	200.38	212.84	195.05	196.25	0.00	0.00	62.97	15.83	33333	3000	2999	0.00	GapSeed	6	0	1		Gap	500	842	533	3012	3068	0	0	474	381	1.02	0.32	0.40	0.17	27	27	0.277
pa	33333	3000	0.01	0	8	1.0	15.3977	0:00:15	200.26	212.80	194.41	195.82	0.00	0.00	93.91	14.95	33333	3000	2999	0.00	GapSeed	8	0	1		Gap	375	368	353	3013	3070	0	0	349	303	1.02	0.18	0.27	0.07	27	27	0.276
pa	33333	3000	0.01	0	10	1.0	13.5299	0:00:13	200.21	212.80	195.01	196.50	0.53	0.00	92.61	13.02	33333	3000	2999	0.00	GapSeed	10	0	1		Gap	300	276	275	3014	3072	0	0	274	232	1.02	0.14	0.25	0.06	27	26	0.276
pa	33333	3000	0.01	0	12	1.0	11.8420	0:00:11	200.57	212.79	194.36	195.84	0.00	0.00	93.81	11.59	33333	3000	2999	0.00	GapSeed	12	0	1		Gap	250	225	225	3015	3074	0	0	224	184	1.02	0.12	0.22	0.05	27	26	0.275
pa	33333	3000	0.01	0	14	1.0	11.2516	0:00:11	200.32	212.75	194.39	195.84	0.00	0.00	90.12	10.61	33333	3000	2999	0.00	GapSeed	14	0	1		Gap	214	189	189	3016	3076	0	0	188	149	1.03	0.11	0.21	0.05	27	26	0.275
pa	33333	3000	0.01	0	17	1.0	9.7761	0:00:09	200.22	212.74	194.30	195.74	0.00	0.00	92.57	9.53	33333	3000	2999	0.00	GapSeed	17	0	1		Gap	176	151	151	3018	3079	0	0	151	113	1.03	0.09	0.19	0.03	27	26	0.274
