alg	cnt	n	e	m	k	s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load	cpu_time	exit_status	nr	|a|	|b|	r	H	k	md	pr	bf	d-f	seeds	matches	f-match	expanded	explored	greedy	dbl	ret	prunes	shift	band	precom	align	prune	ed	h0	h_ops
pa_noprune	100	1000	0.01			0.0220	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	999	0.00	GapSeed	31	0	0	0	Gap	32	24	24	1127	1151	1111	0	0	0	0	1.15	0.03	0.04	0.00	9	8	624
pa_noprune_nogreedy	100	1000	0.01			0.0588	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	999	0.00	GapSeed	31	0	0	0	Gap	32	24	24	1124	3126	0	0	0	0	0	3.13	0.04	0.40	0.00	9	8	17792
dijkstra	100	1000	0.05			0.5020	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1000	0.00	Zero	0	0	0	0		0	0	0	42465	43862	18787	0	0	0	0	43.83	0.00	4.76	0.00	44	0	0
dijkstra_nogreedy	100	1000	0.05			0.8870	0:00:00	8.87	20.32	3.94	4.28	0.00	0.00	0.00	0.49	ok	100	1000	1000	0.00	Zero	0	0	0	0		0	0	0	45355	47747	0	0	0	0	0	47.71	0.00	8.69	0.00	44	0	0
pa_noprune	100	1000	0.05			0.0554	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1000	0.00	GapSeed	10	0	0	0	Gap	100	65	65	4602	4975	3812	0	0	0	0	4.97	0.06	0.34	0.00	44	37	9751
pa_noprune_nogreedy	100	1000	0.05			0.1571	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1000	0.00	GapSeed	10	0	0	0	Gap	100	65	65	4694	6781	0	4	0	0	0	6.78	0.06	1.35	0.00	44	37	49281
dijkstra	100	1000	0.1			1.5298	0:00:01	11.28	22.36	6.26	6.60	0.19	0.00	34.00	1.01	ok	100	1000	1001	0.00	Zero	0	0	0	0		0	0	0	103156	105031	30596	0	0	0	0	104.88	0.00	15.14	0.00	85	0	0
dijkstra_nogreedy	100	1000	0.1			1.6780	0:00:01	11.37	22.46	6.23	6.57	0.00	0.00	60.77	1.51	ok	100	1000	1001	0.00	Zero	0	0	0	0		0	0	0	88228	91572	0	0	0	0	0	91.44	0.00	16.62	0.00	85	0	0
pa_noprune	100	1000	0.1			0.2372	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1001	0.00	GapSeed	7	0	0	0	Gap	142	81	81	13239	14599	7119	0	0	0	0	14.58	0.08	2.13	0.00	85	68	60856
pa_noprune_nogreedy	100	1000	0.1			0.3826	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	1001	0.00	GapSeed	7	0	0	0	Gap	142	81	81	12495	14860	0	25	0	0	0	14.84	0.08	3.58	0.00	85	68	118888
dijkstra	100	1000	0.2			3.5061	0:00:03	15.77	26.68	10.51	10.86	0.19	0.00	73.30	3.06	ok	100	1000	999	0.00	Zero	0	0	0	0		0	0	0	204214	206183	52443	0	0	0	0	206.18	0.00	34.80	0.00	158	0	0
dijkstra_nogreedy	100	1000	0.2			3.5150	0:00:03	15.55	26.64	10.52	10.86	0.00	0.00	73.11	3.06	ok	100	1000	999	0.00	Zero	0	0	0	0		0	0	0	168986	175531	0	0	0	0	0	175.53	0.00	34.99	0.00	158	0	0
pa_noprune	100	1000	0.2			0.4706	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	100	1000	999	0.00	GapSeed	8	1	0	0	Gap	125	277	277	18325	20415	7040	107	0	0	0	20.42	0.47	4.06	0.00	158	139	151494
pa_noprune_nogreedy	100	1000	0.2			0.5664	0:00:00	8.15	19.01	2.83	3.19	0.00	0.00	0.00	0.49	ok	100	1000	999	0.00	GapSeed	8	1	0	0	Gap	125	277	277	15802	18673	0	145	0	0	0	18.67	0.47	5.02	0.00	158	139	207857
dijkstra	33	3000	0.01			0.0966	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	33	3000	2998	0.00	Zero	0	0	0	0		0	0	0	53463	54469	44345	0	0	0	0	18.16	0.00	2.15	0.00	27	0	0
dijkstra_nogreedy	33	3000	0.01			0.5376	0:00:00	11.55	22.58	5.27	6.02	0.00	0.00	0.00	0.48	ok	33	3000	2998	0.00	Zero	0	0	0	0		0	0	0	83619	89778	0	0	0	0	0	29.93	0.00	15.84	0.00	27	0	0
pa_noprune	33	3000	0.01			0.0232	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	33	3000	2998	0.00	GapSeed	31	0	0	0	Gap	96	72	72	5382	5491	5268	0	0	0	0	1.83	0.10	0.16	0.00	27	25	2788
pa_noprune_nogreedy	33	3000	0.01			0.0760	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	33	3000	2998	0.00	GapSeed	31	0	0	0	Gap	96	72	72	5196	11216	0	0	0	0	0	3.74	0.11	1.74	0.00	27	25	68247
dijkstra	33	3000	0.05			2.6399	0:00:02	23.89	35.28	17.96	18.67	0.00	0.00	77.68	2.54	ok	33	3000	3000	0.00	Zero	0	0	0	0		0	0	0	471232	476709	146603	0	0	0	0	158.89	0.00	79.51	0.00	132	0	0
dijkstra_nogreedy	33	3000	0.05			2.9554	0:00:02	24.27	35.54	18.27	19.00	0.00	0.00	69.71	2.55	ok	33	3000	3000	0.00	Zero	0	0	0	0		0	0	0	401426	410581	0	0	0	0	0	136.85	0.00	89.06	0.00	132	0	0
pa_noprune	33	3000	0.05			0.2168	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	33	3000	3000	0.00	GapSeed	11	0	0	0	Gap	272	169	169	45603	48819	29630	0	0	0	0	16.27	0.16	5.64	0.00	132	110	153324
pa_noprune_nogreedy	33	3000	0.05			0.4178	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	33	3000	3000	0.00	GapSeed	11	0	0	0	Gap	272	169	169	43557	50198	0	27	0	0	0	16.73	0.16	12.01	0.00	132	110	393687
dijkstra	33	3000	0.1			6.5754	0:00:06	41.13	52.33	35.02	35.75	0.19	0.00	84.54	6.05	ok	33	3000	2998	0.00	Zero	0	0	0	0		0	0	0	991285	997141	257727	0	0	0	0	332.38	0.00	198.71	0.00	255	0	0
dijkstra_nogreedy	33	3000	0.1			6.3873	0:00:06	41.37	52.39	35.09	35.82	0.00	0.00	88.92	6.17	ok	33	3000	2998	0.00	Zero	0	0	0	0		0	0	0	797320	814895	0	0	0	0	0	271.63	0.00	193.03	0.00	255	0	0
pa_noprune	33	3000	0.1			1.0065	0:00:01	12.61	23.53	6.35	7.08	0.00	0.00	0.00	0.48	ok	33	3000	2998	0.00	GapSeed	7	0	0	0	Gap	428	256	256	132833	141509	48776	0	0	0	0	47.17	0.22	29.76	0.00	255	202	782445
pa_noprune_nogreedy	33	3000	0.1			1.1508	0:00:01	18.14	28.99	11.68	12.44	0.00	0.00	44.31	1.00	ok	33	3000	2998	0.00	GapSeed	7	0	0	0	Gap	428	256	256	110182	118932	0	182	0	0	0	39.64	0.22	34.14	0.00	255	202	1002633
dijkstra	33	3000	0.2			13.5565	0:00:13	75.22	86.13	68.94	69.65	0.00	0.00	90.43	12.71	ok	33	3000	2993	0.00	Zero	0	0	0	0		0	0	0	1848133	1854098	454749	0	0	0	0	618.03	0.00	410.26	0.00	473	0	0
dijkstra_nogreedy	33	3000	0.2			13.1311	0:00:13	75.00	86.34	69.03	69.75	0.19	0.00	92.22	12.60	ok	33	3000	2993	0.00	Zero	0	0	0	0		0	0	0	1506824	1552258	0	0	0	0	0	517.42	0.00	397.34	0.00	473	0	0
pa_noprune	33	3000	0.2			1.6851	0:00:01	18.16	29.26	11.99	12.73	0.00	0.00	61.13	1.52	ok	33	3000	2993	0.00	GapSeed	8	1	0	0	Gap	375	978	978	170444	181202	50218	1048	0	0	0	60.40	1.47	48.65	0.00	473	415	1681826
pa_noprune_nogreedy	33	3000	0.2			1.6410	0:00:01	18.09	29.02	11.75	12.50	0.00	0.00	62.76	1.52	ok	33	3000	2993	0.00	GapSeed	8	1	0	0	Gap	375	978	978	134909	147192	0	1081	0	0	0	49.06	1.49	47.68	0.00	473	415	1874829
dijkstra	10	10000	0.01			0.7444	0:00:00	24.14	35.36	19.16	19.51	0.00	0.00	0.00	0.49	ok	10	10000	10001	0.00	Zero	0	0	0	0		0	0	0	753067	761815	464577	0	0	0	0	76.17	0.00	72.87	0.00	92	0	0
dijkstra_nogreedy	10	10000	0.01			2.4622	0:00:02	41.09	52.17	35.97	36.30	0.00	0.00	62.93	2.03	ok	10	10000	10001	0.00	Zero	0	0	0	0		0	0	0	917077	938632	0	0	0	0	0	93.85	0.00	244.46	0.00	92	0	0
pa_noprune	10	10000	0.01			0.0337	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10001	0.00	GapSeed	31	0	0	0	Gap	322	243	243	49575	50515	47360	0	0	0	0	5.05	0.35	1.58	0.00	92	83	28443
pa_noprune_nogreedy	10	10000	0.01			0.1852	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	10	10000	10001	0.00	GapSeed	31	0	0	0	Gap	322	243	243	48398	68568	0	4	0	0	0	6.86	0.35	15.43	0.00	92	83	482965
dijkstra	10	10000	0.05			18.7722	0:00:18	203.70	256.32	198.57	198.91	0.19	0.00	79.47	15.40	ok	10	10000	10007	0.00	Zero	0	0	0	0		0	0	0	5654444	5673899	1484374	0	0	0	0	566.96	0.00	1874.45	0.00	443	0	0
dijkstra_nogreedy	10	10000	0.05			20.4039	0:00:20	177.34	227.02	172.25	172.60	0.00	0.00	73.16	15.42	ok	10	10000	10007	0.00	Zero	0	0	0	0		0	0	0	4471853	4526071	0	0	0	0	0	452.27	0.00	2038.62	0.00	443	0	0
pa_noprune	10	10000	0.05			1.5846	0:00:01	29.12	40.02	23.87	24.21	0.00	0.00	65.00	1.52	ok	10	10000	10007	0.00	GapSeed	11	0	0	0	Gap	909	570	570	600761	632728	248303	0	0	0	0	63.23	0.53	156.24	0.00	443	364	3132440
pa_noprune_nogreedy	10	10000	0.05			2.0724	0:00:02	50.45	61.33	45.13	45.49	0.00	0.00	49.70	1.52	ok	10	10000	10007	0.00	GapSeed	11	0	0	0	Gap	909	570	570	501047	527535	0	256	0	0	0	52.71	0.53	204.85	0.00	443	364	4302438
dijkstra	10	10000	0.1			38.5687	0:00:38	373.39	460.27	345.44	345.78	0.00	0.00	39.01	15.54	ok	10	10000	9997	0.00	Zero	0	0	0	0		0	0	0	10901724	10921452	2692295	0	0	0	0	1092.15	0.00	3855.11	0.00	845	0	0
dijkstra_nogreedy	10	10000	0.1			36.4989	0:00:36	313.84	460.80	308.61	308.95	0.19	0.00	41.69	15.71	ok	10	10000	9997	0.00	Zero	0	0	0	0		0	0	0	8668111	8812741	0	0	0	0	0	881.27	0.00	3648.04	0.00	845	0	0
pa_noprune	10	10000	0.1			6.2008	0:00:06	92.22	103.08	86.84	87.19	0.00	0.00	82.88	5.63	ok	10	10000	9997	0.00	GapSeed	8	0	0	0	Gap	1250	675	675	1755479	1817442	485185	0	0	0	0	181.74	0.62	617.58	0.00	845	650	11362823
pa_noprune_nogreedy	10	10000	0.1			6.1612	0:00:06	92.70	103.36	87.14	87.50	0.00	0.00	83.39	5.63	ok	10	10000	9997	0.00	GapSeed	8	0	0	0	Gap	1250	675	675	1369092	1419622	0	2051	0	0	0	141.96	0.62	613.24	0.00	845	650	12084690
dijkstra	10	10000	0.2			85.1613	0:01:25	630.05	868.53	625.14	625.47	0.00	0.00	87.94	75.39	ok	10	10000	10005	0.00	Zero	0	0	0	0		0	0	0	20425637	20445541	4954634	0	0	0	0	2043.51	0.00	8514.08	0.00	1568	0	0
dijkstra_nogreedy	10	10000	0.2			88.4372	0:01:28	559.24	839.36	554.97	555.31	0.00	0.00	84.96	75.63	ok	10	10000	10005	0.00	Zero	0	0	0	0		0	0	0	16614589	17065902	0	0	0	0	0	1705.72	0.00	8841.97	0.00	1568	0	0
pa_noprune	10	10000	0.2			9.3398	0:00:09	92.18	103.07	87.02	87.36	0.00	0.00	88.21	8.72	ok	10	10000	10005	0.00	GapSeed	9	1	0	0	Gap	1111	2505	2505	2373033	2456143	604261	13977	0	0	0	245.49	4.37	927.66	0.00	1568	1334	23473700
pa_noprune_nogreedy	10	10000	0.2			10.3091	0:00:10	134.95	145.84	129.66	130.02	0.19	0.00	90.01	9.75	ok	10	10000	10005	0.00	GapSeed	9	1	0	0	Gap	1111	2505	2505	1842678	1938471	0	13457	0	0	0	193.75	4.61	1022.69	0.00	1568	1334	24332944
dijkstra	3	30000	0.01			7.4504	0:00:07	214.44	233.07	208.24	208.96	0.00	0.00	86.28	6.91	ok	3	30000	29989	0.00	Zero	0	0	0	0		0	0	0	8882911	8930626	3567574	0	0	0	0	297.69	0.00	2477.47	0.00	275	0	0
dijkstra_nogreedy	3	30000	0.01			13.3962	0:00:13	393.79	461.03	387.66	388.36	0.00	0.00	92.62	12.89	ok	3	30000	29989	0.00	Zero	0	0	0	0		0	0	0	8383787	8456915	0	0	0	0	0	281.90	0.00	4459.39	0.00	275	0	0
pa_noprune	3	30000	0.01			0.1193	0:00:00	0.01	1.34	0.02	0.02	0.00	0.00	0.00	0.00	ok	3	30000	29989	0.00	GapSeed	31	0	0	0	Gap	967	731	731	564930	576540	507390	0	0	0	0	19.22	1.08	29.82	0.00	275	247	551832
pa_noprune_nogreedy	3	30000	0.01			0.6861	0:00:00	18.38	29.25	11.94	12.67	0.00	0.00	0.00	0.49	ok	3	30000	29989	0.00	GapSeed	31	0	0	0	Gap	967	731	731	514368	575905	0	43	0	0	0	19.20	1.08	220.06	0.00	275	247	4453680
dijkstra	3	30000	0.05			66.4448	0:01:06	771.86	844.31	765.62	766.36	0.17	0.00	67.44	45.28	ok	3	30000	30009	0.00	Zero	0	0	0	0		0	0	0	50229935	50288762	12472867	0	0	0	0	1675.75	0.00	22138.99	0.00	1314	0	0
dijkstra_nogreedy	3	30000	0.05			74.4864	0:01:14	1129.42	1140.43	1123.14	1123.87	0.00	0.00	60.35	45.43	ok	3	30000	30009	0.00	Zero	0	0	0	0		0	0	0	39466798	39823971	0	0	0	0	0	1327.04	0.00	24822.94	0.00	1314	0	0
pa_noprune	3	30000	0.05			9.5044	0:00:09	219.37	230.11	212.81	213.54	0.00	0.00	92.16	9.25	ok	3	30000	30009	0.00	GapSeed	12	0	0	0	Gap	2500	1506	1506	6258355	6476551	1859085	0	0	0	0	215.82	1.58	3160.48	0.00	1314	1063	37843604
pa_noprune_nogreedy	3	30000	0.05			9.0156	0:00:09	231.13	276.88	224.54	225.29	0.00	0.00	92.39	8.82	ok	3	30000	30009	0.00	GapSeed	12	0	0	0	Gap	2500	1506	1506	4882441	5000508	0	2194	0	0	0	166.63	1.60	2997.18	0.00	1314	1063	41064188
dijkstra	3	30000	0.1			143.8282	0:02:23	2217.73	2228.95	2211.66	2212.38	0.00	0.00	93.05	134.29	ok	3	30000	30002	0.00	Zero	0	0	0	0		0	0	0	98680009	98739243	23969494	0	0	0	0	3291.02	0.00	47936.68	0.00	2546	0	0
dijkstra_nogreedy	3	30000	0.1			157.0102	0:02:37	2192.23	2204.17	2186.16	2186.87	0.00	0.00	86.05	135.63	ok	3	30000	30002	0.00	Zero	0	0	0	0		0	0	0	78275347	79453997	0	0	0	0	0	2648.23	0.00	52330.75	0.00	2546	0	0
pa_noprune	3	30000	0.1			28.4441	0:00:28	386.59	565.42	380.12	380.85	0.17	0.00	52.16	15.32	ok	3	30000	30002	0.00	GapSeed	8	0	0	0	Gap	3750	2165	2165	16780173	17208446	4232351	0	0	0	0	573.56	2.15	9469.52	0.00	2546	1936	114403720
pa_noprune_nogreedy	3	30000	0.1			26.6854	0:00:26	428.84	567.76	422.44	423.16	0.00	0.00	55.86	15.40	ok	3	30000	30002	0.00	GapSeed	8	0	0	0	Gap	3750	2165	2165	12982394	13325489	0	18825	0	0	0	444.14	2.14	8886.57	0.00	2546	1936	117141080
dijkstra	3	30000	0.2			287.6750	0:04:47	4393.03	6557.39	4387.12	4388.72	0.00	0.00	99.27	286.08	ok	3	30000	29984	0.00	Zero	0	0	0	0		0	0	0	185923241	185982992	44906671	0	0	0	0	6199.43	0.00	95880.98	0.00	4725	0	0
dijkstra_nogreedy	3	30000	0.2			321.7373	0:05:21	4393.80	4404.81	4389.84	4390.62	0.00	0.00	97.85	315.30	ok	3	30000	29984	0.00	Zero	0	0	0	0		0	0	0	150863202	154835313	0	0	0	0	0	5161.18	0.00	107239.31	0.00	4725	0	0
pa_noprune	3	30000	0.2			41.0573	0:00:41	862.59	1040.02	859.35	861.15	4.58	0.00	37.39	15.82	ok	3	30000	29984	0.00	GapSeed	9	1	0	0	Gap	3333	10851	10851	21841491	22461839	5363994	125268	0	0	0	748.73	20.66	13651.32	0.00	4725	4015	287058464
pa_noprune_nogreedy	3	30000	0.2			41.4508	0:00:41	692.12	1040.18	685.75	686.49	0.17	0.00	36.14	15.46	ok	3	30000	29984	0.00	GapSeed	9	1	0	0	Gap	3333	10851	10851	16916351	17655427	0	120552	0	0	0	588.51	20.89	13783.76	0.00	4725	4015	293234336
dijkstra	1	100000	0.01			54.5265	0:00:54	2221.98	2234.57	2216.81	2217.15	0.00	0.00	82.25	45.35	ok	1	100000	99987	0.00	Zero	0	0	0	0		0	0	0	113402367	113590937	32949133	0	0	0	0	1135.91	0.00	54508.59	0.00	912	0	0
dijkstra_nogreedy	1	100000	0.01			61.4098	0:01:01	2213.46	2231.03	2208.72	2209.07	0.19	0.00	73.67	45.72	ok	1	100000	99987	0.00	Zero	0	0	0	0		0	0	0	90895800	91237000	0	0	0	0	0	912.37	0.00	61382.60	0.00	912	0	0
pa_noprune	1	100000	0.01			0.7571	0:00:00	41.92	90.72	36.62	36.98	0.00	0.00	0.00	0.49	ok	1	100000	99987	0.00	GapSeed	31	0	0	0	Gap	3225	2426	2426	4977035	5119460	3805032	0	0	0	0	51.19	4.31	737.00	0.00	912	837	10448263
